Ballots with first choice:,Number of Ballots,"% of votes to Nolan, Patricia M.","% of votes to Kelly, Kathleen M.","% of votes to Dexter, Emily R.","% of votes to Fantini, Alfred B.","% of votes to Harding, Jr., Richard","% of votes to Bowman, Manikka L.",% of votes to exhaust,percent_sum
"Bowman, Manikka L.",1488.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
"Cisternino, Pia",657.0,0.0,13.09,27.55,0.0,8.37,22.53,28.46,100.0
"Cronin, Fran Albin",1418.0,0.0,0.0,20.38,0.0,0.0,21.23,58.39,100.0
"Crutchfield, Jake W.",1221.0,0.0,15.48,16.46,0.0,0.0,18.51,49.55,100.0
"Dexter, Emily R.",1402.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
"Fantini, Alfred B.",2721.0,0.0,2.72,0.7,88.2,4.81,1.21,2.35,99.99999999999999
"Harding, Jr., Richard",1989.0,0.0,0.3,0.25,0.0,99.2,0.1,0.15,99.99999999999999
"Kadete, Elechi M.",427.0,0.0,13.58,16.86,0.0,19.2,22.95,27.4,100.0
"Kelly, Kathleen M.",1710.0,0.0,99.12,0.06,0.0,0.0,0.41,0.41,100.0
"Nolan, Patricia M.",3006.0,79.84,6.29,4.52,0.0,2.59,3.63,3.13,100.0
"Weinstein, David J.",696.0,0.0,13.94,16.24,0.0,11.06,24.28,34.48,99.99999999999999
writeIns,62.0,0.0,9.68,6.45,0.0,6.45,8.06,69.35,99.99999999999999
