Ballots with first choice:,Number of Ballots,"% of votes to Nolan, Patricia M.","% of votes to Kelly, Kathleen M.","% of votes to Fantini, Alfred B.","% of votes to Harding, Jr., Richard","% of votes to Cronin, Fran Albin","% of votes to Osborne, Mervan F.",% of votes to exhaust,percent_sum
"Cronin, Fran Albin",1832.0,0.0,0.0,0.0,0.0,96.67,2.13,1.2,100.0
"Fantini, Alfred B.",2859.0,0.0,1.89,82.93,5.95,2.41,3.39,3.43,99.99999999999999
"Gerber, Joyce C.",1126.0,0.0,0.0,0.0,0.0,0.0,36.5,63.5,100.0
"Harding, Jr., Richard",2359.0,0.0,0.0,0.0,83.81,2.16,11.02,3.01,100.0
"Holland, John J.",589.0,0.0,0.0,0.0,0.0,18.0,19.19,62.82,100.0
"Kadete, Elechi M.",494.0,0.0,0.0,0.0,0.0,19.23,33.0,47.77,100.0
"Kelly, Kathleen M.",2102.0,0.0,97.57,0.0,0.0,0.81,1.19,0.43,100.0
"Nolan, Patricia M.",3921.0,60.47,6.78,0.0,5.71,6.5,14.08,6.45,99.99999999999999
"Osborne, Mervan F.",1238.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
writeIns,72.0,0.0,0.0,0.0,0.0,9.72,5.56,84.72,99.99999999999999
