Ballots with first choice:,Number of Ballots,"% of votes to Maher, David P.","% of votes to Murphy, Brian","% of votes to Decker, Marjorie C.","% of votes to Davis, Henrietta","% of votes to Sullivan, Michael A.","% of votes to Toomey, Timothy J., Jr.","% of votes to Reeves, Kenneth E.","% of votes to Simmons, Denise","% of votes to Galluccio, Anthony D.",% of votes to exhaust,percent_sum
"Condit, James E., III",62.0,19.35,0.0,12.9,0.0,3.23,9.68,6.45,11.29,0.0,37.1,100.0
"Davis, Henrietta",1697.0,0.0,0.0,0.0,99.94,0.0,0.0,0.06,0.0,0.0,0.0,99.99999999999999
"Decker, Marjorie C.",1525.0,0.0,0.0,99.87,0.0,0.0,0.07,0.07,0.0,0.0,0.0,100.00000000000001
"Dixon, Vincent Lawrence",87.0,12.64,0.0,12.64,0.0,8.05,6.9,14.94,12.64,0.0,32.18,100.0
"Galluccio, Anthony D.",3212.0,14.07,0.0,4.23,0.0,11.46,6.66,5.54,3.18,52.8,2.05,99.99999999999997
"Hall, Robert L.",149.0,18.79,0.0,0.0,0.0,6.71,2.68,14.77,38.26,0.0,18.79,99.99999999999999
"Horowitz, Jacob",150.0,9.33,0.0,0.0,0.0,2.0,5.33,15.33,21.33,0.0,46.67,100.0
"Iskovitz, Steve",340.0,6.47,0.0,0.0,0.0,0.0,4.12,15.0,37.94,0.0,36.47,100.0
"Jens, Steven E.",275.0,27.27,0.0,0.0,0.0,0.0,12.36,8.73,5.82,0.0,45.82,100.0
"King, Ethridge A.",370.0,15.95,0.0,0.0,0.0,0.0,5.68,22.43,24.86,0.0,31.08,99.99999999999999
"Maher, David P.",1008.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Murphy, Brian",1707.0,0.06,99.36,0.23,0.0,0.0,0.0,0.06,0.06,0.0,0.23,100.00000000000001
"Peixoto, Helder",61.0,9.84,0.0,6.56,0.0,18.03,13.11,14.75,8.2,0.0,29.51,100.0
"Pitkin, John",1084.0,19.65,0.0,0.0,0.0,0.0,0.0,21.49,0.0,0.0,58.86,100.0
"Reeves, Kenneth E.",1133.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
"Simmons, Denise",1327.0,0.6,0.0,0.0,0.0,0.0,0.0,4.9,92.54,0.0,1.96,100.0
"Sullivan, Michael A.",1297.0,0.15,0.0,0.0,0.0,99.38,0.23,0.08,0.08,0.0,0.08,99.99999999999999
"Toomey, Timothy J., Jr.",1387.0,0.5,0.0,0.0,0.0,0.0,99.06,0.43,0.0,0.0,0.0,100.0
"Williamson, James M.",55.0,3.64,0.0,12.73,0.0,7.27,3.64,18.18,23.64,0.0,30.91,100.0
writeIns,30.0,6.67,0.0,10.0,0.0,6.67,3.33,20.0,6.67,0.0,46.67,100.0
