Ballots with first choice:,Number of Ballots,"% of votes to Toomey, Timothy J., Jr.","% of votes to Kelley, Craig A.","% of votes to Davis, Henrietta","% of votes to Seidel, Sam","% of votes to Decker, Marjorie C.","% of votes to Murphy, Brian","% of votes to Simmons, E. Denise","% of votes to Reeves, Kenneth E.","% of votes to Maher, David P.",% of votes to exhaust,percent_sum
"Davis, Henrietta",1592.0,0.5,1.51,85.68,1.07,4.46,2.95,1.88,0.44,1.01,0.5,100.0
"Decker, Marjorie C.",1069.0,0.0,0.56,0.0,0.56,97.01,0.0,1.5,0.0,0.0,0.37,99.99999999999999
"Galluccio, Anthony D.",522.0,0.0,13.79,0.0,6.51,13.98,6.32,11.88,14.56,0.0,32.95,100.0
"Janik, Jonathan S.",261.0,5.36,9.2,0.0,23.75,12.26,11.88,5.75,6.13,7.28,18.39,99.99999999999999
"Kelley, Craig A.",1118.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Maher, David P.",1312.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,99.7,0.15,100.0
"Moore, M. Kevin",251.0,0.0,5.18,0.0,11.16,8.76,8.37,19.52,23.11,3.19,20.72,99.99999999999999
"Moree, Gregg J.",111.0,9.01,12.61,0.0,23.42,8.11,8.11,9.01,6.31,8.11,15.32,100.0
"Murphy, Brian",1160.0,0.0,0.34,0.0,1.03,0.0,97.59,0.95,0.0,0.0,0.09,100.0
"Podgers, Kathy",92.0,3.26,16.3,0.0,29.35,6.52,4.35,15.22,8.7,2.17,14.13,100.0
"Reeves, Kenneth E.",1217.0,0.0,0.0,0.0,0.33,0.33,0.16,1.4,97.53,0.0,0.25,100.00000000000001
"Seidel, Sam",1037.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Simmons, E. Denise",996.0,0.0,0.9,0.0,1.0,0.0,0.0,97.59,0.0,0.0,0.5,100.0
"Sullivan, Edward J.",831.0,0.0,20.7,0.0,8.78,0.0,0.0,0.0,0.0,0.0,70.52,100.0
"Toomey, Timothy J., Jr.",1339.0,99.18,0.07,0.0,0.0,0.3,0.0,0.0,0.22,0.15,0.07,99.99999999999999
"Ward, Larry W.",699.0,0.0,13.16,0.0,19.03,15.02,12.02,23.75,0.0,0.0,17.02,99.99999999999999
writeIns,26.0,3.85,0.0,0.0,19.23,3.85,3.85,7.69,7.69,0.0,53.85,100.0
