Ballots with first choice:,Number of Ballots,"% of votes to Carlone, Dennis J.","% of votes to Devereux, Jan","% of votes to Kelley, Craig A.","% of votes to McGovern, Marc C.","% of votes to Simmons, E. Denise","% of votes to Mallon, Alanna M.","% of votes to Toomey, Jr., Timothy J.","% of votes to Siddiqui, Sumbul","% of votes to Zondervan, Quinton Y.",% of votes to exhaust,percent_sum
"Benjamin, Ronald",241.0,9.96,6.64,5.81,6.22,0.0,5.81,6.64,0.0,2.49,56.43,100.0
"Burgin, Josh M.",392.0,9.69,9.69,12.5,9.69,0.0,8.16,8.16,0.0,3.06,39.03,100.0
"Carlone, Dennis J.",1175.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"D'Ambrosio, Olivia",216.0,16.67,22.22,4.17,5.56,0.0,16.67,4.17,0.0,16.2,14.35,100.0
"Devereux, Jan",1698.0,4.36,94.11,0.77,0.0,0.0,0.0,0.53,0.0,0.0,0.24,100.0
"Gebru, Samuel",787.0,8.01,7.12,8.01,13.72,0.0,15.63,5.46,0.0,9.28,32.78,99.99999999999999
"Harding, Jr., Richard",835.0,12.57,0.0,9.82,0.0,0.0,0.0,24.07,0.0,0.0,53.53,100.0
"Kelley, Craig A.",1092.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Lenke, Dan",53.0,3.77,3.77,1.89,5.66,0.0,33.96,7.55,0.0,11.32,32.08,100.0
"Levy, Ilan",246.0,11.38,8.13,8.54,6.91,0.0,7.72,18.7,0.0,20.33,18.29,100.0
"Mallon, Alanna M.",1328.0,0.6,0.0,0.45,0.0,0.0,97.89,0.15,0.0,0.0,0.9,99.99999999999999
"McGovern, Marc C.",1879.0,0.53,0.43,0.53,95.64,0.0,1.17,0.48,0.0,0.64,0.59,99.99999999999999
"Moree, Gregg J.",46.0,6.52,2.17,15.22,8.7,0.0,4.35,8.7,0.0,4.35,50.0,100.0
"Musgrave, Adriane B.",580.0,6.03,8.62,11.9,13.62,0.0,37.24,2.76,0.0,7.24,12.59,100.0
"Okamoto, Nadya T.",550.0,10.73,14.36,6.36,7.45,0.0,13.64,4.18,0.0,16.36,26.91,99.99999999999999
"Pillai, Hari I.",107.0,9.35,10.28,5.61,7.48,0.0,9.35,8.41,0.0,17.76,31.78,99.99999999999999
"Santos, Jeff",147.0,11.56,4.76,4.08,7.48,0.0,6.12,12.93,0.0,19.05,34.01,99.99999999999999
"Siddiqui, Sumbul",2532.0,1.62,1.86,0.63,0.79,0.0,1.58,0.43,88.94,2.49,1.66,100.0
"Simmons, E. Denise",2616.0,1.03,1.49,1.57,2.71,86.09,1.03,2.68,0.0,0.73,2.68,100.00000000000001
"Sivongxay, Vatsady",740.0,14.59,16.89,7.84,0.0,0.0,12.3,3.78,0.0,30.14,14.46,100.0
"Sutton, Bryan",45.0,6.67,13.33,13.33,2.22,0.0,2.22,24.44,0.0,8.89,28.89,100.0
"Tierney, Sean",778.0,9.77,9.38,13.62,0.0,0.0,21.08,11.95,0.0,6.81,27.38,100.0
"Toner, Paul F.",980.0,14.39,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,57.04,100.0
"Toomey, Jr., Timothy J.",1618.0,0.49,0.0,1.48,0.0,0.0,0.0,97.47,0.0,0.0,0.56,100.0
"Volmar, Gwen Thomas",248.0,10.48,11.29,4.44,9.27,0.0,21.37,4.84,0.0,14.92,23.39,100.0
"Zondervan, Quinton Y.",1565.0,4.28,0.0,0.77,0.0,0.0,0.0,0.45,0.0,94.38,0.13,100.0
writeIns,21.0,19.05,0.0,14.29,19.05,0.0,0.0,4.76,0.0,4.76,38.1,100.0
