Ballots with first choice:,Number of Ballots,"% of votes to vanBeuzekom, Minka Y.","% of votes to Maher, David P.","% of votes to Decker, Marjorie C.","% of votes to Cheung, Leland","% of votes to Kelley, Craig A.","% of votes to Davis, Henrietta","% of votes to Simmons, E. Denise","% of votes to Toomey, Jr., Timothy J.","% of votes to Reeves, Kenneth E.",% of votes to exhaust,percent_sum
"Cheung, Leland",2016.0,3.92,0.0,3.52,78.52,3.42,4.61,2.33,0.0,2.63,1.04,100.0
"Davis, Henrietta",1435.0,0.07,0.0,0.07,0.0,0.14,99.65,0.07,0.0,0.0,0.0,99.99999999999999
"Decker, Marjorie C.",1122.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Kelley, Craig A.",1097.0,0.27,0.0,0.27,0.0,99.09,0.0,0.0,0.0,0.18,0.18,100.0
"Maher, David P.",1685.0,0.24,93.95,1.48,0.0,0.71,1.01,0.83,0.0,0.65,1.13,99.99999999999999
"Marquardt, Charles J.",499.0,17.64,0.0,9.22,0.0,25.85,0.0,5.21,0.0,6.61,35.47,100.0
"Mello, Gary W.",135.0,21.48,0.0,8.89,0.0,13.33,3.7,5.93,0.0,11.85,34.81,99.99999999999999
"Moree, Gregg J.",56.0,17.86,0.0,8.93,0.0,7.14,5.36,8.93,0.0,10.71,41.07,100.0
"Nelson, Matthew P.",542.0,17.9,0.0,19.93,0.0,7.75,0.0,12.55,0.0,13.1,28.78,100.0
"Pascual, Jamake",63.0,25.4,0.0,7.94,0.0,14.29,3.17,12.7,0.0,6.35,30.16,100.0
"Reeves, Kenneth E.",1011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
"Seidel, Sam",788.0,18.65,0.0,19.67,0.0,15.61,0.0,15.23,0.0,9.52,21.32,99.99999999999997
"Simmons, E. Denise",1262.0,0.63,0.0,1.11,0.0,0.0,0.0,96.04,0.0,1.9,0.32,99.99999999999999
"Stohlman, Jr., Thomas J.",344.0,29.36,0.0,14.24,0.0,17.73,0.0,9.01,0.0,7.27,22.38,99.99999999999999
"Toomey, Jr., Timothy J.",1701.0,0.59,0.0,1.23,0.0,0.82,0.82,1.23,93.06,1.12,1.12,99.99999999999999
"Ward, Larry W.",835.0,17.01,0.0,20.0,0.0,0.0,0.0,0.0,0.0,27.07,35.93,100.0
"Williamson, James M.",175.0,30.86,0.0,8.0,0.0,6.86,10.29,12.57,0.0,10.29,21.14,99.99999999999997
"vanBeuzekom, Minka Y.",1038.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
writeIns,24.0,12.5,0.0,4.17,0.0,4.17,4.17,0.0,0.0,4.17,70.83,99.99999999999999
