Ballots with first choice:,Number of Ballots,"% of votes to Rojas Villareal, Jose Luis","% of votes to Fantini, Alfred B.","% of votes to Bowman, Mannika L.","% of votes to Dexter, Emily R.","% of votes to Wilson, Ayesha","% of votes to Weinstain, Rachel",% of votes to exhaust,percent_sum
"Allen, Ruth Ryan",892.0,17.49,0.0,0.0,0.0,0.0,20.4,62.11,99.99999999999999
"Bowman, Mannika L.",3107.0,1.71,3.6,89.22,0.0,2.06,1.29,2.12,99.99999999999999
"Dawson, Bernette J.",976.0,34.43,0.0,0.0,0.0,0.0,0.0,65.57,100.0
"Dexter, Emily R.",2999.0,2.3,1.97,0.0,92.43,0.8,1.33,1.17,99.99999999999999
"Fantini, Alfred B.",2662.0,0.41,97.71,0.0,0.0,0.0,0.6,1.28,100.00000000000001
"Kadete, Elechi M.",814.0,39.8,0.0,0.0,0.0,0.0,15.23,44.96,100.0
"Lim, Christopher",934.0,31.48,0.0,0.0,0.0,0.0,19.06,49.46,100.0
"Rojas Villareal, Jose Luis",1131.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Weinstain, Rachel",2176.0,9.93,0.0,0.0,0.0,0.0,86.31,3.77,99.99999999999999
"Weinstein, David J.",971.0,25.64,0.0,0.0,0.0,0.0,31.62,42.74,100.0
"Wilson, Ayesha",2690.0,0.04,0.0,0.0,0.0,99.78,0.11,0.07,100.0
writeIns,51.0,13.73,0.0,0.0,0.0,0.0,7.84,78.43,100.0
