,"Adkins, Lawrence J.","Cheung, Leland","Davis, Henrietta","Decker, Marjorie C.","Flanagan, Mark F.","Glick, Silvia P.","Kelley, Craig A.","Leavitt, Neal W.","Maher, David P.","Marquardt, Charles J.","Moree, Gregg J.","Podgers, Kathy","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Stohlman, Jr., Thomas J.","Sullivan, Edward J.","Toomey, Jr., Timothy J.","Ward, Larry W.","Williamson, James M.","vanBeuzekom, Minka Y.",writeIns
first_choice,103.00,755.00,1857.00,1285.00,111.00,256.00,1249.00,136.00,1285.00,385.00,47.00,78.00,1165.00,899.00,1781.00,377.00,883.00,1746.00,735.00,89.00,682.00,33.00
"Adkins, Lawrence J.",,9.00,10.00,2.00,2.00,3.00,6.00,0.00,4.00,6.00,0.00,2.00,13.00,5.00,16.00,2.00,8.00,5.00,15.00,13.00,4.00,1.00
"Cheung, Leland",8.00,,102.00,30.00,9.00,23.00,73.00,14.00,21.00,36.00,2.00,7.00,27.00,56.00,55.00,25.00,18.00,51.00,25.00,5.00,72.00,3.00
"Davis, Henrietta",4.00,124.00,,279.00,9.00,34.00,207.00,12.00,136.00,17.00,0.00,3.00,90.00,193.00,246.00,47.00,25.00,92.00,109.00,3.00,113.00,0.00
"Decker, Marjorie C.",1.00,20.00,132.00,,1.00,17.00,43.00,3.00,59.00,10.00,1.00,2.00,45.00,34.00,91.00,8.00,24.00,45.00,37.00,0.00,25.00,0.00
"Flanagan, Mark F.",7.00,16.00,14.00,5.00,,2.00,3.00,2.00,9.00,4.00,0.00,0.00,8.00,1.00,6.00,0.00,17.00,18.00,3.00,4.00,10.00,1.00
"Glick, Silvia P.",3.00,29.00,40.00,11.00,15.00,,63.00,7.00,9.00,11.00,2.00,8.00,9.00,20.00,25.00,11.00,14.00,9.00,4.00,4.00,31.00,1.00
"Kelley, Craig A.",6.00,59.00,179.00,67.00,4.00,25.00,,10.00,86.00,39.00,4.00,4.00,22.00,80.00,54.00,36.00,41.00,72.00,37.00,6.00,58.00,2.00
"Leavitt, Neal W.",1.00,16.00,21.00,10.00,5.00,7.00,22.00,,11.00,10.00,1.00,1.00,6.00,17.00,7.00,7.00,6.00,9.00,6.00,1.00,8.00,0.00
"Maher, David P.",1.00,37.00,166.00,83.00,5.00,7.00,94.00,8.00,,30.00,1.00,6.00,34.00,60.00,62.00,24.00,181.00,253.00,50.00,1.00,16.00,1.00
"Marquardt, Charles J.",5.00,17.00,18.00,8.00,4.00,11.00,59.00,5.00,24.00,,0.00,1.00,12.00,9.00,16.00,10.00,37.00,47.00,7.00,1.00,23.00,1.00
"Moree, Gregg J.",0.00,8.00,3.00,0.00,0.00,0.00,6.00,1.00,13.00,7.00,,5.00,5.00,3.00,5.00,3.00,3.00,7.00,2.00,1.00,1.00,0.00
"Podgers, Kathy",0.00,13.00,12.00,8.00,1.00,8.00,6.00,2.00,4.00,6.00,13.00,,5.00,5.00,10.00,3.00,5.00,3.00,1.00,5.00,9.00,1.00
"Reeves, Kenneth E.",19.00,20.00,118.00,111.00,6.00,13.00,42.00,4.00,71.00,9.00,4.00,6.00,,37.00,464.00,7.00,31.00,122.00,100.00,6.00,24.00,4.00
"Seidel, Sam",3.00,52.00,247.00,90.00,4.00,19.00,183.00,15.00,79.00,19.00,2.00,4.00,91.00,,123.00,56.00,16.00,39.00,50.00,3.00,62.00,0.00
"Simmons, E. Denise",10.00,51.00,303.00,213.00,11.00,19.00,100.00,11.00,62.00,16.00,2.00,5.00,429.00,129.00,,22.00,33.00,117.00,126.00,11.00,56.00,1.00
"Stohlman, Jr., Thomas J.",2.00,43.00,55.00,22.00,3.00,6.00,41.00,6.00,26.00,10.00,2.00,4.00,13.00,39.00,25.00,,13.00,15.00,21.00,4.00,31.00,1.00
"Sullivan, Edward J.",1.00,23.00,23.00,55.00,5.00,2.00,30.00,4.00,215.00,29.00,3.00,2.00,50.00,21.00,62.00,18.00,,384.00,15.00,0.00,16.00,0.00
"Toomey, Jr., Timothy J.",4.00,37.00,72.00,68.00,2.00,5.00,48.00,6.00,278.00,27.00,3.00,0.00,58.00,31.00,127.00,8.00,253.00,,39.00,4.00,25.00,1.00
"Ward, Larry W.",10.00,30.00,115.00,63.00,1.00,8.00,68.00,3.00,45.00,9.00,1.00,3.00,67.00,60.00,147.00,24.00,14.00,80.00,,6.00,37.00,0.00
"Williamson, James M.",3.00,7.00,3.00,5.00,1.00,2.00,6.00,1.00,3.00,2.00,0.00,2.00,8.00,2.00,10.00,0.00,9.00,9.00,16.00,,13.00,0.00
"vanBeuzekom, Minka Y.",6.00,66.00,100.00,57.00,7.00,32.00,93.00,5.00,6.00,14.00,2.00,2.00,17.00,46.00,59.00,31.00,17.00,29.00,26.00,5.00,,0.00
writeIns,0.00,1.00,2.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,1.00,0.00,2.00,0.00,3.00,
exhaust,9.00,77.00,122.00,97.00,16.00,13.00,55.00,16.00,123.00,74.00,4.00,11.00,154.00,51.00,169.00,35.00,117.00,340.00,44.00,6.00,45.00,15.00
