,"Adkins, Lawrence J.","Cheung, Leland","Davis, Henrietta","Decker, Marjorie C.","Flanagan, Mark F.","Glick, Silvia P.","Kelley, Craig A.","Leavitt, Neal W.","Maher, David P.","Marquardt, Charles J.","Moree, Gregg J.","Podgers, Kathy","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Stohlman, Jr., Thomas J.","Sullivan, Edward J.","Toomey, Jr., Timothy J.","Ward, Larry W.","Williamson, James M.","vanBeuzekom, Minka Y.",writeIns
first_choice,0.65,4.74,11.65,8.06,0.70,1.61,7.84,0.85,8.06,2.42,0.29,0.49,7.31,5.64,11.18,2.37,5.54,10.96,4.61,0.56,4.28,0.21
"Adkins, Lawrence J.",,1.33,0.58,0.17,2.11,1.23,0.50,0.00,0.34,1.93,0.00,2.99,1.29,0.59,0.99,0.58,1.04,0.36,2.17,15.66,0.63,5.56
"Cheung, Leland",8.51,,5.88,2.53,9.47,9.47,6.11,11.67,1.81,11.58,4.65,10.45,2.67,6.60,3.41,7.31,2.35,3.63,3.62,6.02,11.30,16.67
"Davis, Henrietta",4.26,18.29,,23.48,9.47,13.99,17.34,10.00,11.70,5.47,0.00,4.48,8.90,22.76,15.26,13.74,3.26,6.54,15.77,3.61,17.74,0.00
"Decker, Marjorie C.",1.06,2.95,7.61,,1.05,7.00,3.60,2.50,5.08,3.22,2.33,2.99,4.45,4.01,5.65,2.34,3.13,3.20,5.35,0.00,3.92,0.00
"Flanagan, Mark F.",7.45,2.36,0.81,0.42,,0.82,0.25,1.67,0.77,1.29,0.00,0.00,0.79,0.12,0.37,0.00,2.22,1.28,0.43,4.82,1.57,5.56
"Glick, Silvia P.",3.19,4.28,2.31,0.93,15.79,,5.28,5.83,0.77,3.54,4.65,11.94,0.89,2.36,1.55,3.22,1.83,0.64,0.58,4.82,4.87,5.56
"Kelley, Craig A.",6.38,8.70,10.32,5.64,4.21,10.29,,8.33,7.40,12.54,9.30,5.97,2.18,9.43,3.35,10.53,5.35,5.12,5.35,7.23,9.11,11.11
"Leavitt, Neal W.",1.06,2.36,1.21,0.84,5.26,2.88,1.84,,0.95,3.22,2.33,1.49,0.59,2.00,0.43,2.05,0.78,0.64,0.87,1.20,1.26,0.00
"Maher, David P.",1.06,5.46,9.57,6.99,5.26,2.88,7.87,6.67,,9.65,2.33,8.96,3.36,7.08,3.85,7.02,23.63,17.99,7.24,1.20,2.51,5.56
"Marquardt, Charles J.",5.32,2.51,1.04,0.67,4.21,4.53,4.94,4.17,2.07,,0.00,1.49,1.19,1.06,0.99,2.92,4.83,3.34,1.01,1.20,3.61,5.56
"Moree, Gregg J.",0.00,1.18,0.17,0.00,0.00,0.00,0.50,0.83,1.12,2.25,,7.46,0.49,0.35,0.31,0.88,0.39,0.50,0.29,1.20,0.16,0.00
"Podgers, Kathy",0.00,1.92,0.69,0.67,1.05,3.29,0.50,1.67,0.34,1.93,30.23,,0.49,0.59,0.62,0.88,0.65,0.21,0.14,6.02,1.41,5.56
"Reeves, Kenneth E.",20.21,2.95,6.80,9.34,6.32,5.35,3.52,3.33,6.11,2.89,9.30,8.96,,4.36,28.78,2.05,4.05,8.68,14.47,7.23,3.77,22.22
"Seidel, Sam",3.19,7.67,14.24,7.58,4.21,7.82,15.33,12.50,6.80,6.11,4.65,5.97,9.00,,7.63,16.37,2.09,2.77,7.24,3.61,9.73,0.00
"Simmons, E. Denise",10.64,7.52,17.46,17.93,11.58,7.82,8.38,9.17,5.34,5.14,4.65,7.46,42.43,15.21,,6.43,4.31,8.32,18.23,13.25,8.79,5.56
"Stohlman, Jr., Thomas J.",2.13,6.34,3.17,1.85,3.16,2.47,3.43,5.00,2.24,3.22,4.65,5.97,1.29,4.60,1.55,,1.70,1.07,3.04,4.82,4.87,5.56
"Sullivan, Edward J.",1.06,3.39,1.33,4.63,5.26,0.82,2.51,3.33,18.50,9.32,6.98,2.99,4.95,2.48,3.85,5.26,,27.31,2.17,0.00,2.51,0.00
"Toomey, Jr., Timothy J.",4.26,5.46,4.15,5.72,2.11,2.06,4.02,5.00,23.92,8.68,6.98,0.00,5.74,3.66,7.88,2.34,33.03,,5.64,4.82,3.92,5.56
"Ward, Larry W.",10.64,4.42,6.63,5.30,1.05,3.29,5.70,2.50,3.87,2.89,2.33,4.48,6.63,7.08,9.12,7.02,1.83,5.69,,7.23,5.81,0.00
"Williamson, James M.",3.19,1.03,0.17,0.42,1.05,0.82,0.50,0.83,0.26,0.64,0.00,2.99,0.79,0.24,0.62,0.00,1.17,0.64,2.32,,2.04,0.00
"vanBeuzekom, Minka Y.",6.38,9.73,5.76,4.80,7.37,13.17,7.79,4.17,0.52,4.50,4.65,2.99,1.68,5.42,3.66,9.06,2.22,2.06,3.76,6.02,,0.00
writeIns,0.00,0.15,0.12,0.08,0.00,0.00,0.08,0.83,0.09,0.00,0.00,0.00,0.20,0.00,0.12,0.00,0.13,0.00,0.29,0.00,0.47,
