,"Benzan, Dennis A.","Carlone, Dennis J.","Cheung, Leland","Connolly, Mike","Courtney, Kim","Davidson, Mariko","Degoes, Jr., Plinio T.","Devereux, Jan","Dietrich, Xavier","Kelley, Craig A.","Levy, Ilan S.","Maher, David P.","Mahoney, Jr., Paul F.","Mazen, Nadeem A.","McGovern, Marc C.","Mello, Gary W.","Moree, Gregg J.","Sanzone, John","Simmons, E. Denise","Toomey, Jr., Timothy J.","Waite, Romaine","Williamson, James M.","vanBeuzekom, Minka Y.",writeIns
first_choice,6.49,5.60,6.66,4.72,0.40,4.78,0.29,7.32,0.15,8.04,0.86,9.18,1.41,10.82,6.74,0.66,0.43,0.18,9.59,7.93,1.53,0.40,5.69,0.15
"Benzan, Dennis A.",,2.61,6.23,2.50,1.39,2.23,3.92,1.76,3.85,5.09,1.96,8.06,5.58,3.84,13.56,3.42,6.49,0.00,21.40,8.62,8.79,8.33,4.64,0.00
"Carlone, Dennis J.",6.65,,4.80,20.93,4.17,3.52,1.96,23.89,0.00,5.58,3.27,2.14,0.40,9.85,2.41,6.84,0.00,0.00,2.81,1.20,3.30,4.17,9.27,0.00
"Cheung, Leland",7.25,8.12,,4.76,1.39,8.68,1.96,7.04,3.85,15.07,5.88,8.12,4.78,5.29,14.39,4.27,9.09,9.38,9.77,5.58,3.30,1.39,11.54,3.85
"Connolly, Mike",1.81,23.05,2.95,,4.17,7.03,9.80,13.02,7.69,3.70,12.42,1.10,3.59,6.64,2.50,4.27,1.30,3.12,2.16,4.52,4.76,6.94,8.38,7.69
"Courtney, Kim",0.60,0.10,0.93,1.43,,1.17,0.00,0.61,42.31,0.49,5.23,0.18,0.40,0.67,0.17,5.13,0.00,0.00,0.64,0.21,1.10,0.00,0.99,3.85
"Davidson, Mariko",1.38,2.81,5.31,7.25,8.33,,11.76,3.75,7.69,3.21,10.46,0.55,0.40,22.45,3.41,4.27,3.90,12.50,1.52,0.85,12.45,1.39,4.83,0.00
"Degoes, Jr., Plinio T.",0.09,0.00,0.76,0.59,5.56,1.64,,0.61,0.00,0.07,1.31,0.18,0.00,0.26,0.08,1.71,0.00,0.00,0.23,0.07,1.10,1.39,0.39,0.00
"Devereux, Jan",0.95,15.53,4.30,15.10,13.89,7.27,9.80,,0.00,5.44,5.23,3.48,3.59,4.82,3.16,3.42,0.00,3.12,1.93,0.42,6.59,2.78,7.79,3.85
"Dietrich, Xavier",0.26,0.00,0.25,0.12,29.17,0.12,5.88,0.92,,0.14,1.31,0.00,0.40,0.05,0.25,1.71,0.00,3.12,0.18,0.07,0.73,0.00,0.30,0.00
"Kelley, Craig A.",4.40,5.41,10.95,4.04,0.00,3.99,1.96,4.13,15.38,,3.27,6.35,3.98,2.95,6.82,7.69,3.90,6.25,4.15,4.59,1.10,4.17,9.17,3.85
"Levy, Ilan S.",0.69,0.60,0.25,1.90,2.78,1.29,3.92,1.45,0.00,1.19,,0.73,0.80,0.62,0.08,5.98,0.00,3.12,0.64,1.77,0.73,4.17,0.99,0.00
"Maher, David P.",7.77,3.31,9.77,1.90,1.39,1.41,3.92,6.43,0.00,14.17,2.61,,22.31,3.94,8.82,7.69,7.79,9.38,7.49,23.25,1.10,2.78,3.55,0.00
