,"Craig, Christopher","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.","Price, Alan C.","Walser, Nancy",writeIns
first_choice,3.00,15.54,12.26,12.63,13.94,14.56,6.97,20.59,0.52
"Craig, Christopher",,2.39,2.11,1.96,5.68,6.48,2.78,4.55,2.06
"Fantini, Alfred B.",11.33,,46.92,9.98,4.79,8.66,5.65,7.79,2.06
"Grassi, Joseph G.",5.76,49.45,,15.23,3.55,4.77,2.40,5.75,0.00
"Harding, Richard, Jr.",4.32,7.35,11.69,,9.31,10.47,15.93,15.30,5.15
"Lummis, Ben",33.45,4.85,2.46,8.92,,27.05,20.96,16.30,7.22
"McGovern, Marc C.",17.81,7.28,4.00,8.83,28.55,,12.84,10.49,2.06
"Price, Alan C.",5.58,3.12,2.28,18.73,14.84,9.92,,19.80,2.06
"Walser, Nancy",10.07,7.35,8.52,12.59,19.78,17.21,30.39,,10.31
writeIns,0.00,0.07,0.09,0.17,0.12,0.15,0.08,0.18,
exhaust,11.69,18.13,21.92,23.59,13.37,15.28,8.97,19.83,69.07
