,"Condit, James E., III","Davis, Henrietta","Decker, Marjorie C.","Dixon, Vincent Lawrence","Galluccio, Anthony D.","Hall, Robert L.","Horowitz, Jacob","Iskovitz, Steve","Jens, Steven E.","King, Ethridge A.","Maher, David P.","Murphy, Brian","Peixoto, Helder","Pitkin, John","Reeves, Kenneth E.","Simmons, Denise","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Williamson, James M.",writeIns
first_choice,0.37,10.01,8.99,0.51,18.94,0.88,0.88,2.01,1.62,2.18,5.94,10.07,0.36,6.39,6.68,7.83,7.65,8.18,0.32,0.18
"Condit, James E., III",,0.25,0.07,1.20,0.27,1.43,0.00,0.32,13.64,0.29,0.33,0.68,1.82,0.57,0.39,0.24,0.68,0.34,11.32,0.00
"Davis, Henrietta",8.93,,22.13,3.61,4.99,2.14,10.95,9.78,3.64,13.49,3.81,22.39,9.09,23.25,7.51,15.38,4.05,3.86,3.77,11.11
"Decker, Marjorie C.",7.14,23.41,,9.64,7.35,37.86,2.92,11.36,3.18,7.62,5.45,16.82,1.82,10.43,10.40,18.35,4.65,5.54,9.43,5.56
"Dixon, Vincent Lawrence",10.71,0.61,0.41,,0.58,0.71,0.00,2.52,4.55,1.47,0.44,0.12,0.00,0.86,0.67,0.48,0.84,0.84,3.77,5.56
"Galluccio, Anthony D.",8.93,8.09,12.10,8.43,,12.86,4.38,3.15,17.73,8.21,35.84,7.30,16.36,5.36,13.49,6.33,29.14,28.13,7.55,27.78
"Hall, Robert L.",3.57,0.18,1.38,6.02,1.71,,1.46,0.63,2.27,1.17,0.76,0.93,0.00,0.67,0.48,0.72,0.34,0.34,1.89,0.00
"Horowitz, Jacob",1.79,7.35,0.76,2.41,0.62,4.29,,3.79,3.64,4.40,0.54,2.10,1.82,2.20,0.29,1.04,0.34,0.17,5.66,5.56
"Iskovitz, Steve",7.14,0.80,1.80,4.82,0.62,0.71,17.52,,2.27,2.05,0.44,1.36,3.64,2.68,0.67,1.92,0.25,0.25,16.98,16.67
"Jens, Steven E.",17.86,0.37,0.35,12.05,0.92,0.00,2.19,2.52,,2.05,0.87,0.37,1.82,0.86,0.10,0.24,0.25,0.42,0.00,5.56
"King, Ethridge A.",1.79,6.50,4.15,6.02,2.39,5.00,23.36,7.26,5.91,,1.63,5.19,0.00,5.65,6.07,6.49,0.42,0.59,3.77,0.00
"Maher, David P.",7.14,3.12,2.97,1.20,23.56,4.29,0.73,0.95,14.55,4.99,,4.64,5.45,2.97,3.18,1.20,16.89,8.31,0.00,0.00
"Murphy, Brian",0.00,16.42,15.35,3.61,3.42,9.29,8.76,10.73,2.27,14.08,4.47,,5.45,20.38,3.28,11.78,2.62,0.92,3.77,5.56
"Peixoto, Helder",3.57,0.49,0.41,1.20,0.96,0.71,0.00,1.89,1.82,1.17,0.76,1.48,,0.77,0.29,0.24,0.76,2.27,1.89,0.00
"Pitkin, John",1.79,10.05,7.40,9.64,2.50,3.57,10.95,12.62,3.64,7.33,2.29,16.08,7.27,,2.02,8.01,1.44,1.26,11.32,5.56
"Reeves, Kenneth E.",0.00,4.90,8.64,4.82,9.23,5.71,2.92,3.79,3.18,12.32,3.38,3.71,10.91,3.83,,22.28,4.39,3.44,5.66,5.56
"Simmons, Denise",1.79,13.66,14.66,7.23,4.85,6.43,10.95,21.14,4.09,15.54,3.05,12.62,1.82,13.49,38.05,,3.21,2.27,7.55,0.00
"Sullivan, Michael A.",1.79,2.21,4.70,6.02,23.90,2.86,1.46,0.32,7.27,2.35,27.67,3.28,16.36,3.25,8.67,3.04,,40.72,1.89,5.56
"Toomey, Timothy J., Jr.",3.57,1.47,2.56,4.82,11.86,0.71,0.73,1.58,4.09,1.17,8.17,0.62,9.09,2.20,4.05,1.84,29.65,,3.77,0.00
"Williamson, James M.",10.71,0.06,0.14,7.23,0.27,1.43,0.73,5.68,1.82,0.29,0.11,0.31,5.45,0.57,0.39,0.40,0.00,0.17,,0.00
writeIns,1.79,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.00,0.00,1.82,0.00,0.00,0.00,0.08,0.17,0.00,
