,"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lemily Wiggins, Gail","Malner, Stefan","McGovern, Marc C.","Nolan, Patricia M.","Schuster, Luc","Tauber, Nancy",writeIns
first_choice,2013.00,1625.00,1561.00,1024.00,133.00,2275.00,1672.00,1675.00,1245.00,36.00
"Fantini, Alfred B.",,811.00,213.00,69.00,5.00,143.00,107.00,133.00,65.00,4.00
"Grassi, Joseph G.",1059.00,,284.00,36.00,4.00,92.00,101.00,61.00,45.00,1.00
"Harding, Richard, Jr.",145.00,193.00,,46.00,9.00,251.00,126.00,134.00,51.00,1.00
"Lemily Wiggins, Gail",70.00,60.00,78.00,,23.00,138.00,106.00,142.00,288.00,1.00
"Malner, Stefan",23.00,12.00,22.00,75.00,,44.00,16.00,20.00,40.00,1.00
"McGovern, Marc C.",164.00,81.00,198.00,117.00,34.00,,532.00,377.00,251.00,3.00
"Nolan, Patricia M.",126.00,85.00,191.00,129.00,8.00,706.00,,350.00,167.00,2.00
"Schuster, Luc",59.00,33.00,113.00,121.00,9.00,382.00,301.00,,183.00,1.00
"Tauber, Nancy",55.00,56.00,88.00,297.00,18.00,232.00,191.00,233.00,,2.00
writeIns,1.00,1.00,1.00,2.00,1.00,3.00,0.00,1.00,0.00,
exhaust,311.00,293.00,373.00,132.00,22.00,284.00,192.00,224.00,155.00,20.00
