,"Benjamin, Ronald","Burgin, Josh M.","Carlone, Dennis J.","D'Ambrosio, Olivia","Devereux, Jan","Gebru, Samuel","Harding, Jr., Richard","Kelley, Craig A.","Lenke, Dan","Levy, Ilan","Mallon, Alanna M.","McGovern, Marc C.","Moree, Gregg J.","Musgrave, Adriane B.","Okamoto, Nadya T.","Pillai, Hari I.","Santos, Jeff","Siddiqui, Sumbul","Simmons, E. Denise","Sivongxay, Vatsady","Sutton, Bryan","Tierney, Sean","Toner, Paul F.","Toomey, Jr., Timothy J.","Volmar, Gwen Thomas","Zondervan, Quinton Y.",writeIns
first_choice,1.07,1.74,5.22,0.96,7.54,3.50,3.71,4.85,0.24,1.09,5.90,8.35,0.20,2.58,2.44,0.48,0.65,11.25,11.62,3.29,0.20,3.46,4.35,7.19,1.10,6.95,0.09
"Benjamin, Ronald",,1.60,0.26,1.46,0.31,1.59,2.22,0.49,0.00,0.43,0.46,0.11,5.13,0.53,0.98,1.98,2.38,0.84,2.42,0.55,2.44,0.14,0.44,0.68,1.32,0.33,0.00
"Burgin, Josh M.",7.34,,1.32,2.91,0.67,2.17,0.92,1.66,0.00,1.29,1.31,0.77,12.82,1.76,1.56,1.98,0.79,0.75,0.71,0.83,2.44,2.05,2.66,2.34,2.64,1.11,7.14
"Carlone, Dennis J.",5.08,4.81,,7.28,25.21,2.89,3.66,5.65,0.00,5.17,4.16,4.76,0.00,1.23,3.71,3.96,3.97,5.82,4.22,5.66,2.44,3.69,2.10,3.17,4.85,11.12,7.14
"D'Ambrosio, Olivia",1.69,1.92,1.50,,2.75,1.45,0.26,0.39,2.04,2.16,1.70,0.83,0.00,0.88,3.71,1.98,3.17,1.38,0.84,0.41,2.44,0.82,0.44,0.68,5.29,1.30,7.14
"Devereux, Jan",7.34,9.94,36.30,14.56,,3.32,1.96,12.27,4.08,6.47,9.56,6.86,0.00,2.99,7.42,2.97,5.56,8.83,7.94,6.48,2.44,5.88,5.20,2.57,6.17,18.73,0.00
"Gebru, Samuel",8.47,4.81,2.20,1.94,2.32,,6.54,1.66,4.08,0.86,4.24,5.75,2.56,4.93,7.81,1.98,1.59,4.69,4.43,2.21,2.44,6.57,0.55,0.83,3.96,2.54,0.00
"Harding, Jr., Richard",9.60,4.49,1.76,2.91,1.77,9.97,,2.14,0.00,1.72,1.77,2.54,5.13,1.58,1.76,0.00,4.76,2.68,14.42,1.24,0.00,3.69,3.88,9.06,1.76,1.37,0.00
"Kelley, Craig A.",3.95,8.65,5.02,2.43,5.31,3.47,3.40,,0.00,3.02,4.86,4.59,7.69,4.05,2.73,0.99,1.59,3.10,4.39,2.62,2.44,3.83,6.31,5.66,1.76,2.99,7.14
"Lenke, Dan",0.00,0.00,0.18,0.97,0.37,0.00,0.52,0.78,,1.29,0.23,0.06,2.56,0.35,0.00,0.99,0.79,0.00,0.25,0.00,2.44,0.00,0.22,0.45,0.00,0.20,0.00
"Levy, Ilan",0.56,1.28,0.53,0.49,0.85,0.58,0.65,1.27,20.41,,0.93,0.50,0.00,0.88,2.34,4.95,0.79,0.59,0.42,0.83,0.00,0.27,0.44,3.85,1.76,1.24,0.00
"Mallon, Alanna M.",3.39,6.73,2.91,7.77,5.92,8.24,6.14,10.13,10.20,4.74,,7.08,2.56,16.90,4.69,1.98,1.59,7.99,3.59,4.14,0.00,10.67,7.64,4.91,8.81,3.32,0.00
"McGovern, Marc C.",6.78,7.37,7.14,4.37,7.45,9.83,9.67,12.85,2.04,3.88,13.26,,10.26,10.39,4.69,2.97,4.76,5.15,15.96,7.72,2.44,7.93,7.75,9.14,5.29,4.75,14.29
"Moree, Gregg J.",0.00,0.32,0.09,0.00,0.12,0.58,0.26,0.49,12.24,0.00,0.54,0.33,,0.00,0.00,1.98,0.00,0.17,0.50,0.14,0.00,0.00,0.44,0.45,0.00,0.07,0.00
"Musgrave, Adriane B.",2.82,2.88,0.88,1.94,1.83,4.05,1.05,2.34,2.04,0.86,6.32,5.37,5.13,,2.34,2.97,0.00,1.88,2.05,2.48,4.88,4.38,1.11,0.30,2.20,1.69,0.00
"Okamoto, Nadya T.",4.52,3.21,0.88,9.22,1.77,4.34,2.61,0.88,0.00,2.59,2.70,1.99,7.69,4.58,,10.89,4.76,4.81,1.80,6.07,9.76,1.50,1.00,0.76,4.85,3.38,7.14
"Pillai, Hari I.",1.13,2.56,0.09,0.00,0.61,0.58,0.78,0.58,0.00,0.43,0.62,0.44,2.56,1.23,2.73,,0.79,1.05,0.46,0.55,0.00,0.27,0.66,0.53,1.76,0.98,0.00
"Santos, Jeff",1.13,2.88,0.79,0.49,0.79,0.87,1.18,0.97,2.04,3.45,0.85,0.61,2.56,1.06,2.34,6.93,,1.26,0.59,1.10,2.44,0.41,0.66,3.40,2.20,1.17,21.43
"Siddiqui, Sumbul",7.91,5.45,12.95,10.19,12.88,10.84,6.01,8.57,8.16,14.66,18.12,8.46,0.00,5.99,13.67,12.87,12.70,,7.61,31.45,12.20,7.25,5.09,4.91,15.86,21.85,0.00
"Simmons, E. Denise",18.64,6.73,4.67,6.80,7.39,14.74,31.90,11.20,8.16,1.72,7.71,28.65,10.26,10.56,11.52,10.89,12.70,9.75,,6.76,4.88,9.85,7.64,20.02,7.93,4.42,14.29
"Sivongxay, Vatsady",0.00,0.96,2.47,5.83,2.56,3.18,2.48,2.43,4.08,4.31,3.24,2.05,0.00,2.64,8.98,3.96,3.97,16.28,3.84,,4.88,2.19,1.55,1.28,4.85,12.09,0.00
"Sutton, Bryan",1.13,0.96,0.18,0.00,0.18,0.43,0.52,0.10,0.00,0.86,0.08,0.06,0.00,0.00,0.39,1.98,0.00,0.33,0.59,0.83,,0.55,0.44,0.68,0.88,0.59,0.00
"Tierney, Sean",0.56,5.77,1.67,3.40,2.63,6.94,4.71,5.16,2.04,1.72,6.17,5.53,5.13,18.31,4.49,2.97,3.97,3.22,3.84,1.93,2.44,,16.17,7.70,3.52,1.63,7.14
"Toner, Paul F.",1.13,9.29,1.50,1.94,1.47,2.17,2.75,6.43,4.08,5.60,3.70,3.37,12.82,3.17,1.37,0.99,3.17,2.43,2.80,1.10,7.32,14.36,,15.03,0.44,0.59,0.00
"Toomey, Jr., Timothy J.",2.26,6.09,1.50,0.00,0.92,2.46,7.19,4.67,4.08,15.09,2.39,4.65,5.13,0.88,1.76,4.95,6.35,1.42,12.95,1.93,24.39,8.48,25.80,,1.76,1.37,0.00
"Volmar, Gwen Thomas",2.26,0.64,0.53,5.34,0.98,0.87,0.65,0.29,2.04,2.16,1.62,0.88,0.00,1.58,2.15,2.97,3.97,1.26,0.88,0.97,4.88,1.50,0.89,0.68,,1.24,7.14
"Zondervan, Quinton Y.",1.69,0.64,12.69,7.77,12.82,4.48,1.96,6.52,8.16,15.52,3.47,3.76,0.00,3.52,6.84,8.91,15.08,14.35,2.47,12.00,0.00,3.69,0.78,0.91,10.13,,0.00
writeIns,0.56,0.00,0.00,0.00,0.12,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.00,0.04,0.00,0.00,0.00,0.11,0.00,0.00,0.00,
