,"Bowman, Manikka L.","Cronin, Fran A.","Crutchfield, Jake W.","Dexter, Emily R.","Fantini, Alfred B.","Kadete, Elechi M.","Kelly, Kathleen M.","Kimbrough, Laurance V.","MacArthur, William","Mitros, Piotr Flawiusz","Nolan, Patricia M.","Weinstein, David J.",writeIns
first_choice,13.37,7.59,5.01,11.48,13.18,4.08,9.08,8.96,3.84,2.47,16.70,3.85,0.38
"Bowman, Manikka L.",,13.37,8.86,12.25,6.30,13.85,11.86,19.51,9.69,10.18,17.99,11.29,3.85
"Cronin, Fran A.",11.34,,7.42,6.40,6.30,5.33,5.05,5.39,6.16,8.02,9.11,8.78,1.28
"Crutchfield, Jake W.",3.79,6.37,,6.65,1.61,8.40,2.34,4.37,9.18,5.28,3.27,5.77,1.28
"Dexter, Emily R.",17.27,13.05,17.53,,6.82,8.05,15.00,13.10,11.95,12.92,19.50,11.29,3.85
"Fantini, Alfred B.",4.91,8.72,5.01,9.34,,7.46,9.47,9.33,3.65,2.35,6.57,5.02,1.28
"Kadete, Elechi M.",7.48,3.37,6.55,3.32,2.53,,2.29,7.60,4.91,7.44,2.86,4.52,1.28
"Kelly, Kathleen M.",9.36,9.17,4.91,12.08,15.40,5.68,,5.82,6.79,4.50,13.42,7.40,1.28
"Kimbrough, Laurance V.",10.04,4.84,5.49,7.37,8.17,10.65,3.88,,11.07,6.07,3.64,4.52,1.28
"MacArthur, William",2.46,2.99,7.42,3.41,2.79,2.84,2.61,5.01,,10.18,2.40,2.38,0.00
"Mitros, Piotr Flawiusz",1.99,1.91,4.62,4.00,0.99,4.50,1.70,2.64,4.91,,2.55,5.02,1.28
"Nolan, Patricia M.",15.90,17.89,11.46,23.65,15.14,8.76,26.01,10.62,11.57,14.87,,13.30,7.69
"Weinstein, David J.",3.14,3.88,4.43,3.45,3.26,4.02,2.82,4.69,4.91,8.41,4.22,,1.28
writeIns,0.07,0.06,0.10,0.00,0.18,0.00,0.05,0.16,0.25,0.20,0.06,0.38,
exhaust,12.25,14.39,16.18,8.08,30.50,20.47,16.91,11.75,14.97,9.59,14.41,20.33,74.36
