,"Bowman, Manikka L.","Cronin, Fran A.","Crutchfield, Jake W.","Dexter, Emily R.","Fantini, Alfred B.","Kadete, Elechi M.","Kelly, Kathleen M.","Kimbrough, Laurance V.","MacArthur, William","Mitros, Piotr Flawiusz","Nolan, Patricia M.","Weinstein, David J.",writeIns
first_choice,13.37,7.59,5.01,11.48,13.18,4.08,9.08,8.96,3.84,2.47,16.70,3.85,0.38
"Bowman, Manikka L.",,15.61,10.57,13.32,9.07,17.41,14.28,22.11,11.39,11.26,21.02,14.17,15.00
"Cronin, Fran A.",12.93,,8.85,6.96,9.07,6.70,6.08,6.11,7.25,8.87,10.65,11.02,5.00
"Crutchfield, Jake W.",4.32,7.43,,7.23,2.32,10.57,2.82,4.95,10.80,5.84,3.82,7.24,5.00
"Dexter, Emily R.",19.68,15.24,20.92,,9.81,10.12,18.05,14.84,14.05,14.29,22.78,14.17,15.00
"Fantini, Alfred B.",5.60,10.19,5.98,10.16,,9.38,11.40,10.57,4.29,2.60,7.67,6.30,5.00
"Kadete, Elechi M.",8.52,3.94,7.82,3.62,3.64,,2.75,8.61,5.77,8.23,3.35,5.67,5.00
"Kelly, Kathleen M.",10.66,10.71,5.86,13.14,22.15,7.14,,6.60,7.99,4.98,15.68,9.29,5.00
"Kimbrough, Laurance V.",11.45,5.65,6.55,8.01,11.76,13.39,4.67,,13.02,6.71,4.26,5.67,5.00
"MacArthur, William",2.80,3.49,8.85,3.71,4.01,3.57,3.14,5.68,,11.26,2.81,2.99,0.00
"Mitros, Piotr Flawiusz",2.26,2.23,5.52,4.35,1.42,5.65,2.05,2.99,5.77,,2.97,6.30,5.00
"Nolan, Patricia M.",18.11,20.89,13.68,25.73,21.78,11.01,31.31,12.03,13.61,16.45,,16.69,30.00
"Weinstein, David J.",3.58,4.54,5.29,3.75,4.69,5.06,3.39,5.31,5.77,9.31,4.93,,5.00
writeIns,0.08,0.07,0.11,0.00,0.26,0.00,0.06,0.18,0.30,0.22,0.07,0.47,
