,"Adkins, Lawrence J.","Condit, James E., III","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Gordon, Jesse A.","Green, Andre Lerone","Hall, Robert Lee, Sr.","Hees, Bill","Kelley, Craig A.","LaTremouille, Robert J.","Maher, David P.","Murphy, Brian","Reeves, Kenneth E.","Seidel, Sam","Simmons, Denise","Sullivan, Michael A.","Toomey, Timothy J., Jr.",writeIns
first_choice,242.00,41.00,1457.00,1524.00,1997.00,625.00,181.00,74.00,197.00,1041.00,118.00,900.00,1236.00,1205.00,973.00,1327.00,1462.00,1431.00,15.00
"Adkins, Lawrence J.",,2.00,14.00,15.00,18.00,11.00,2.00,3.00,0.00,38.00,4.00,2.00,5.00,39.00,22.00,52.00,20.00,9.00,0.00
"Condit, James E., III",14.00,,4.00,4.00,4.00,2.00,3.00,1.00,22.00,2.00,0.00,2.00,1.00,2.00,8.00,7.00,7.00,7.00,0.00
"Davis, Henrietta",16.00,4.00,,343.00,88.00,65.00,4.00,2.00,3.00,117.00,11.00,43.00,274.00,71.00,125.00,178.00,59.00,36.00,0.00
"Decker, Marjorie C.",18.00,4.00,442.00,,157.00,70.00,4.00,0.00,2.00,93.00,6.00,43.00,186.00,104.00,89.00,269.00,82.00,56.00,2.00
"Galluccio, Anthony D.",11.00,2.00,73.00,169.00,,34.00,10.00,9.00,16.00,83.00,3.00,224.00,57.00,125.00,50.00,69.00,345.00,316.00,0.00
"Gordon, Jesse A.",8.00,3.00,47.00,63.00,30.00,,15.00,4.00,7.00,82.00,6.00,17.00,69.00,13.00,79.00,32.00,15.00,7.00,1.00
"Green, Andre Lerone",2.00,2.00,11.00,9.00,13.00,29.00,,6.00,42.00,15.00,5.00,2.00,2.00,4.00,7.00,8.00,6.00,16.00,1.00
"Hall, Robert Lee, Sr.",1.00,1.00,6.00,3.00,22.00,5.00,15.00,,9.00,9.00,1.00,1.00,0.00,10.00,4.00,7.00,7.00,7.00,0.00
"Hees, Bill",2.00,5.00,5.00,4.00,17.00,10.00,44.00,7.00,,21.00,5.00,5.00,9.00,5.00,7.00,4.00,6.00,9.00,0.00
"Kelley, Craig A.",22.00,0.00,59.00,42.00,65.00,53.00,10.00,5.00,23.00,,14.00,21.00,51.00,19.00,286.00,34.00,25.00,20.00,0.00
"LaTremouille, Robert J.",3.00,2.00,12.00,10.00,13.00,7.00,3.00,0.00,7.00,19.00,,2.00,6.00,7.00,10.00,5.00,7.00,3.00,0.00
"Maher, David P.",4.00,3.00,50.00,39.00,297.00,6.00,7.00,4.00,15.00,45.00,7.00,,78.00,29.00,29.00,27.00,183.00,104.00,0.00
"Murphy, Brian",6.00,0.00,222.00,157.00,62.00,67.00,5.00,1.00,7.00,99.00,7.00,85.00,,42.00,115.00,68.00,46.00,12.00,1.00
"Reeves, Kenneth E.",51.00,0.00,77.00,135.00,157.00,37.00,6.00,11.00,1.00,40.00,10.00,40.00,82.00,,22.00,285.00,84.00,41.00,0.00
"Seidel, Sam",13.00,3.00,100.00,82.00,29.00,122.00,5.00,4.00,14.00,196.00,9.00,32.00,156.00,43.00,,48.00,17.00,12.00,0.00
"Simmons, Denise",39.00,1.00,184.00,245.00,93.00,53.00,11.00,6.00,4.00,56.00,7.00,29.00,108.00,423.00,64.00,,81.00,51.00,1.00
"Sullivan, Michael A.",9.00,3.00,59.00,81.00,533.00,11.00,6.00,2.00,5.00,38.00,7.00,207.00,69.00,118.00,20.00,102.00,,488.00,0.00
"Toomey, Timothy J., Jr.",6.00,1.00,25.00,48.00,231.00,9.00,6.00,0.00,5.00,24.00,2.00,81.00,20.00,34.00,9.00,43.00,351.00,,0.00
writeIns,0.00,0.00,0.00,1.00,2.00,1.00,2.00,0.00,0.00,2.00,1.00,0.00,0.00,1.00,0.00,1.00,2.00,2.00,
exhaust,17.00,5.00,67.00,74.00,166.00,33.00,23.00,9.00,15.00,62.00,13.00,64.00,63.00,116.00,27.00,88.00,119.00,235.00,9.00
