,"Adkins, Lawrence J.","Condit, James E., III","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Gordon, Jesse A.","Green, Andre Lerone","Hall, Robert Lee, Sr.","Hees, Bill","Kelley, Craig A.","LaTremouille, Robert J.","Maher, David P.","Murphy, Brian","Reeves, Kenneth E.","Seidel, Sam","Simmons, Denise","Sullivan, Michael A.","Toomey, Timothy J., Jr.",writeIns
first_choice,1.51,0.26,9.08,9.50,12.45,3.90,1.13,0.46,1.23,6.49,0.74,5.61,7.70,7.51,6.06,8.27,9.11,8.92,0.09
"Adkins, Lawrence J.",,4.88,0.96,0.98,0.90,1.76,1.10,4.05,0.00,3.65,3.39,0.22,0.40,3.24,2.26,3.92,1.37,0.63,0.00
"Condit, James E., III",5.79,,0.27,0.26,0.20,0.32,1.66,1.35,11.17,0.19,0.00,0.22,0.08,0.17,0.82,0.53,0.48,0.49,0.00
"Davis, Henrietta",6.61,9.76,,22.51,4.41,10.40,2.21,2.70,1.52,11.24,9.32,4.78,22.17,5.89,12.85,13.41,4.04,2.52,0.00
"Decker, Marjorie C.",7.44,9.76,30.34,,7.86,11.20,2.21,0.00,1.02,8.93,5.08,4.78,15.05,8.63,9.15,20.27,5.61,3.91,13.33
"Galluccio, Anthony D.",4.55,4.88,5.01,11.09,,5.44,5.52,12.16,8.12,7.97,2.54,24.89,4.61,10.37,5.14,5.20,23.60,22.08,0.00
"Gordon, Jesse A.",3.31,7.32,3.23,4.13,1.50,,8.29,5.41,3.55,7.88,5.08,1.89,5.58,1.08,8.12,2.41,1.03,0.49,6.67
"Green, Andre Lerone",0.83,4.88,0.75,0.59,0.65,4.64,,8.11,21.32,1.44,4.24,0.22,0.16,0.33,0.72,0.60,0.41,1.12,6.67
"Hall, Robert Lee, Sr.",0.41,2.44,0.41,0.20,1.10,0.80,8.29,,4.57,0.86,0.85,0.11,0.00,0.83,0.41,0.53,0.48,0.49,0.00
"Hees, Bill",0.83,12.20,0.34,0.26,0.85,1.60,24.31,9.46,,2.02,4.24,0.56,0.73,0.41,0.72,0.30,0.41,0.63,0.00
"Kelley, Craig A.",9.09,0.00,4.05,2.76,3.25,8.48,5.52,6.76,11.68,,11.86,2.33,4.13,1.58,29.39,2.56,1.71,1.40,0.00
"LaTremouille, Robert J.",1.24,4.88,0.82,0.66,0.65,1.12,1.66,0.00,3.55,1.83,,0.22,0.49,0.58,1.03,0.38,0.48,0.21,0.00
"Maher, David P.",1.65,7.32,3.43,2.56,14.87,0.96,3.87,5.41,7.61,4.32,5.93,,6.31,2.41,2.98,2.03,12.52,7.27,0.00
"Murphy, Brian",2.48,0.00,15.24,10.30,3.10,10.72,2.76,1.35,3.55,9.51,5.93,9.44,,3.49,11.82,5.12,3.15,0.84,6.67
"Reeves, Kenneth E.",21.07,0.00,5.28,8.86,7.86,5.92,3.31,14.86,0.51,3.84,8.47,4.44,6.63,,2.26,21.48,5.75,2.87,0.00
"Seidel, Sam",5.37,7.32,6.86,5.38,1.45,19.52,2.76,5.41,7.11,18.83,7.63,3.56,12.62,3.57,,3.62,1.16,0.84,0.00
"Simmons, Denise",16.12,2.44,12.63,16.08,4.66,8.48,6.08,8.11,2.03,5.38,5.93,3.22,8.74,35.10,6.58,,5.54,3.56,6.67
"Sullivan, Michael A.",3.72,7.32,4.05,5.31,26.69,1.76,3.31,2.70,2.54,3.65,5.93,23.00,5.58,9.79,2.06,7.69,,34.10,0.00
"Toomey, Timothy J., Jr.",2.48,2.44,1.72,3.15,11.57,1.44,3.31,0.00,2.54,2.31,1.69,9.00,1.62,2.82,0.92,3.24,24.01,,0.00
writeIns,0.00,0.00,0.00,0.07,0.10,0.16,1.10,0.00,0.00,0.19,0.85,0.00,0.00,0.08,0.00,0.08,0.14,0.14,
exhaust,7.02,12.20,4.60,4.86,8.31,5.28,12.71,12.16,7.61,5.96,11.02,7.11,5.10,9.63,2.77,6.63,8.14,16.42,60.00
