,"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.","Nolan, Patricia M.","Schuster, Luc","Walser, Nancy",writeIns
first_choice,14.74,12.88,12.81,9.78,9.13,15.43,11.92,12.95,0.36
"Fantini, Alfred B.",,48.89,10.81,6.08,7.94,4.78,4.13,10.54,1.82
"Grassi, Joseph G.",49.47,,18.09,3.97,4.11,3.44,3.04,5.20,0.00
"Harding, Richard, Jr.",7.29,12.71,,9.59,11.27,5.03,9.77,6.65,7.27
"Lummis, Ben",4.39,3.17,10.61,,15.59,10.44,14.60,19.19,0.00
"McGovern, Marc C.",6.89,4.27,9.25,16.27,,15.72,12.98,13.64,3.64
"Nolan, Patricia M.",5.62,3.77,6.62,13.56,18.50,,24.97,21.14,12.73
"Schuster, Luc",2.50,2.06,8.84,11.38,10.77,32.12,,9.35,0.00
"Walser, Nancy",5.31,4.42,9.90,27.71,20.13,18.11,17.48,,9.09
writeIns,0.18,0.30,0.45,0.20,0.00,0.13,0.22,0.10,
exhaust,18.35,20.40,25.42,11.24,11.69,10.23,12.81,14.19,65.45
