,"Cheung, Leland","Davis, Henrietta","Decker, Marjorie C.","Kelley, Craig A.","Maher, David P.","Marquardt, Charles J.","Mello, Gary W.","Moree, Gregg J.","Nelson, Matthew P.","Pascual, Jamake","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Stohlman, Jr., Thomas J.","Toomey, Jr., Timothy J.","Ward, Larry W.","Williamson, James M.","vanBeuzekom, Minka Y.",writeIns
first_choice,2017.00,1436.00,1123.00,1098.00,1686.00,501.00,135.00,56.00,542.00,63.00,1013.00,788.00,1266.00,344.00,1705.00,835.00,175.00,1038.00,24.00
"Cheung, Leland",,301.00,179.00,232.00,212.00,48.00,13.00,4.00,77.00,2.00,82.00,151.00,142.00,65.00,216.00,88.00,18.00,263.00,3.00
"Davis, Henrietta",349.00,,201.00,113.00,127.00,10.00,3.00,1.00,68.00,1.00,51.00,118.00,117.00,44.00,68.00,68.00,11.00,133.00,0.00
"Decker, Marjorie C.",202.00,255.00,,67.00,154.00,11.00,7.00,0.00,32.00,2.00,82.00,58.00,115.00,11.00,99.00,56.00,9.00,43.00,1.00
"Kelley, Craig A.",159.00,86.00,63.00,,107.00,87.00,8.00,2.00,22.00,4.00,25.00,62.00,30.00,31.00,65.00,43.00,5.00,89.00,1.00
"Maher, David P.",169.00,101.00,109.00,93.00,,46.00,7.00,6.00,43.00,0.00,53.00,62.00,76.00,9.00,371.00,51.00,6.00,27.00,0.00
"Marquardt, Charles J.",56.00,18.00,6.00,67.00,42.00,,11.00,3.00,4.00,3.00,7.00,15.00,3.00,11.00,78.00,10.00,7.00,38.00,1.00
"Mello, Gary W.",15.00,2.00,6.00,7.00,10.00,45.00,,6.00,7.00,6.00,1.00,1.00,4.00,6.00,16.00,2.00,9.00,16.00,0.00
"Moree, Gregg J.",6.00,4.00,1.00,4.00,9.00,10.00,11.00,,4.00,1.00,1.00,0.00,1.00,2.00,15.00,10.00,4.00,4.00,0.00
"Nelson, Matthew P.",44.00,44.00,22.00,16.00,21.00,17.00,2.00,3.00,,3.00,13.00,18.00,10.00,8.00,45.00,34.00,7.00,33.00,0.00
"Pascual, Jamake",8.00,3.00,5.00,3.00,7.00,4.00,10.00,0.00,15.00,,3.00,1.00,5.00,3.00,1.00,3.00,6.00,3.00,0.00
"Reeves, Kenneth E.",102.00,57.00,105.00,38.00,86.00,8.00,9.00,4.00,22.00,2.00,,37.00,307.00,9.00,101.00,88.00,5.00,37.00,1.00
"Seidel, Sam",173.00,118.00,53.00,108.00,78.00,16.00,2.00,2.00,31.00,1.00,74.00,,38.00,30.00,22.00,35.00,9.00,66.00,0.00
"Simmons, E. Denise",143.00,136.00,148.00,62.00,108.00,8.00,3.00,3.00,31.00,5.00,343.00,67.00,,13.00,131.00,122.00,14.00,54.00,0.00
"Stohlman, Jr., Thomas J.",64.00,20.00,10.00,25.00,21.00,26.00,7.00,2.00,10.00,9.00,6.00,21.00,19.00,,17.00,14.00,9.00,70.00,1.00
"Toomey, Jr., Timothy J.",111.00,37.00,53.00,34.00,378.00,43.00,6.00,6.00,45.00,3.00,60.00,24.00,93.00,8.00,,31.00,4.00,26.00,1.00
"Ward, Larry W.",65.00,56.00,32.00,50.00,93.00,25.00,6.00,0.00,59.00,4.00,69.00,40.00,106.00,16.00,58.00,,16.00,61.00,0.00
"Williamson, James M.",14.00,9.00,4.00,8.00,10.00,7.00,4.00,2.00,7.00,6.00,4.00,4.00,11.00,1.00,10.00,17.00,,24.00,1.00
"vanBeuzekom, Minka Y.",214.00,117.00,53.00,109.00,45.00,26.00,7.00,3.00,31.00,2.00,18.00,54.00,51.00,55.00,37.00,63.00,22.00,,1.00
writeIns,1.00,1.00,0.00,1.00,3.00,3.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,5.00,0.00,2.00,1.00,
exhaust,122.00,71.00,73.00,61.00,175.00,61.00,18.00,9.00,33.00,9.00,120.00,55.00,138.00,22.00,350.00,100.00,12.00,50.00,13.00
