,"Cheung, Leland","Davis, Henrietta","Decker, Marjorie C.","Kelley, Craig A.","Maher, David P.","Marquardt, Charles J.","Mello, Gary W.","Moree, Gregg J.","Nelson, Matthew P.","Pascual, Jamake","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Stohlman, Jr., Thomas J.","Toomey, Jr., Timothy J.","Ward, Larry W.","Williamson, James M.","vanBeuzekom, Minka Y.",writeIns
first_choice,12.74,9.07,7.09,6.93,10.65,3.15,0.85,0.35,3.42,0.40,6.39,4.98,7.97,2.17,10.75,5.28,1.11,6.56,0.15
"Cheung, Leland",,22.08,17.06,22.39,14.03,10.96,11.11,8.51,15.13,3.70,9.20,20.60,12.62,20.19,15.96,11.97,11.04,26.62,27.27
"Davis, Henrietta",18.43,,19.16,10.91,8.41,2.28,2.56,2.13,13.36,1.85,5.72,16.10,10.40,13.66,5.03,9.25,6.75,13.46,0.00
"Decker, Marjorie C.",10.61,18.71,,6.47,10.19,2.51,5.98,0.00,6.29,3.70,9.20,7.91,10.22,3.42,7.24,7.62,5.52,4.35,9.09
"Kelley, Craig A.",8.39,6.31,5.91,,7.08,19.63,6.84,4.26,4.32,7.41,2.81,8.46,2.67,9.63,4.80,5.85,3.07,9.01,9.09
"Maher, David P.",8.92,7.41,10.39,8.88,,10.50,5.98,12.77,8.45,0.00,5.95,8.46,6.76,2.80,27.42,6.94,3.68,2.73,0.00
"Marquardt, Charles J.",2.96,1.32,0.57,6.47,2.78,,9.40,6.38,0.79,5.56,0.79,2.05,0.27,3.42,5.76,1.36,4.29,3.85,9.09
"Mello, Gary W.",0.79,0.15,0.57,0.68,0.66,10.05,,12.77,1.38,11.11,0.11,0.14,0.27,1.86,1.18,0.27,5.52,1.62,0.00
"Moree, Gregg J.",0.32,0.29,0.10,0.39,0.60,2.28,9.40,,0.79,1.85,0.11,0.00,0.00,0.62,1.11,1.36,2.45,0.40,0.00
"Nelson, Matthew P.",2.32,3.23,2.10,1.54,1.39,3.88,1.71,6.38,,5.56,1.46,2.46,0.80,2.48,3.33,4.63,4.29,3.34,0.00
"Pascual, Jamake",0.42,0.22,0.48,0.29,0.46,0.91,8.55,0.00,2.95,,0.34,0.14,0.44,0.93,0.07,0.41,3.68,0.30,0.00
"Reeves, Kenneth E.",5.39,4.11,10.01,3.67,5.69,1.83,7.69,8.51,4.32,3.70,,5.05,27.29,2.80,7.46,11.97,3.07,3.74,9.09
"Seidel, Sam",9.13,8.66,5.05,10.42,5.16,3.65,1.71,4.26,6.09,1.85,8.19,,3.38,9.32,1.63,4.76,5.52,6.68,0.00
"Simmons, E. Denise",7.55,9.98,14.11,5.98,7.15,1.83,2.56,6.38,6.09,9.26,38.38,9.14,,4.04,9.61,16.60,8.59,5.47,0.00
"Stohlman, Jr., Thomas J.",3.38,1.47,0.95,2.41,1.39,5.94,5.98,4.26,1.96,16.67,0.67,2.86,1.69,,1.26,1.90,5.52,7.09,9.09
"Toomey, Jr., Timothy J.",5.86,2.71,5.05,3.28,25.02,9.82,5.13,12.77,8.84,5.56,6.73,3.27,8.27,2.48,,4.22,2.45,2.63,9.09
"Ward, Larry W.",3.43,4.04,3.05,4.83,6.15,5.71,5.13,0.00,11.59,7.41,7.74,5.46,9.42,4.97,4.29,,9.82,6.17,0.00
"Williamson, James M.",0.74,0.66,0.38,0.77,0.66,1.60,3.42,4.26,1.38,11.11,0.45,0.55,0.98,0.31,0.74,2.31,,2.43,9.09
"vanBeuzekom, Minka Y.",11.30,8.58,5.05,10.52,2.98,5.94,5.98,6.38,6.09,3.70,2.02,7.37,4.53,17.08,2.73,8.57,13.50,,9.09
writeIns,0.05,0.07,0.00,0.10,0.20,0.68,0.85,0.00,0.20,0.00,0.11,0.00,0.00,0.00,0.37,0.00,1.23,0.10,
