,"Fantini, Alfred B.","Forster, Bill","Gerber, Joyce C.","Harding, Jr., Richard","Holland, John J.","McGovern, Marc C.","Nolan, Patricia M.","Osborne, Mervan F.","Stead, Sr., Charles Lewis","Tauber, Nancy","Turkel, Alice L.",writeIns
first_choice,15.52,2.15,2.84,12.11,2.53,11.58,13.91,13.51,1.92,9.74,13.82,0.37
"Fantini, Alfred B.",,9.83,7.03,14.30,25.61,10.78,5.08,4.11,12.76,8.54,7.62,26.67
"Forster, Bill",6.58,,12.50,1.92,7.01,1.82,3.02,3.38,8.23,1.53,1.27,13.33
"Gerber, Joyce C.",4.50,32.20,,2.47,8.23,2.73,6.19,4.00,4.53,3.66,3.09,0.00
"Harding, Jr., Richard",22.45,6.10,12.24,,6.10,12.40,9.84,12.57,26.34,4.81,6.96,13.33
"Holland, John J.",9.06,5.08,7.81,3.51,,2.08,2.75,3.04,2.06,2.21,1.66,6.67
"McGovern, Marc C.",19.33,9.83,9.90,20.41,11.59,,17.46,12.34,7.00,14.26,14.70,0.00
"Nolan, Patricia M.",8.71,8.81,15.89,9.35,10.98,21.75,,20.97,4.12,16.55,20.72,13.33
"Osborne, Mervan F.",4.21,8.81,10.94,14.78,10.67,9.42,16.67,,13.58,13.81,11.38,13.33
"Stead, Sr., Charles Lewis",4.62,6.44,3.12,12.99,3.35,2.21,1.53,4.51,,0.92,1.38,6.67
"Tauber, Nancy",9.58,6.44,12.24,8.45,10.37,17.34,19.10,17.19,12.35,,31.10,0.00
"Turkel, Alice L.",10.73,6.10,8.33,11.68,6.10,19.42,18.20,17.76,8.64,33.71,,6.67
writeIns,0.23,0.34,0.00,0.14,0.00,0.06,0.16,0.11,0.41,0.00,0.11,
