,"Akiba, Sukia","Azeem, Burhan","Carlone, Dennis J.","Franklin, Charles J.","Kelley, Craig A.","Kopon, Derek Andrew","Levy, Ilan","Mallon, Alanna M.","McGovern, Marc C.","McNary, Jeffery","Mednick, Risa","Moree, Gregg J.","Musgrave, Adriane","Nolan, Patricia M.","Pitkin, John","Siddiqui, Sumbul","Simmons, E. Denise","Simon, Ben","Sobrinho-Wheeler, Jivan","Toomey, Jr., Timothy J.","Williams, Nicola A.","Zondervan, Quinton Y.",writeIns
first_choice,1.70,4.52,6.96,1.52,6.70,2.32,0.52,5.91,7.63,0.36,1.15,0.22,3.42,7.93,2.52,11.85,9.45,1.38,6.22,8.14,2.97,6.51,0.08
"Akiba, Sukia",,4.04,0.48,4.49,0.66,2.08,4.90,2.29,0.84,4.11,0.85,5.26,1.42,1.15,1.17,3.44,2.27,2.87,2.25,1.82,2.13,1.77,0.00
"Azeem, Burhan",16.23,,0.55,6.41,0.88,1.87,1.96,2.05,2.97,2.74,3.39,0.00,9.65,0.85,0.78,6.84,2.33,2.87,12.94,0.80,3.12,2.73,0.00
"Carlone, Dennis J.",2.61,1.09,,6.73,19.34,12.27,12.75,2.70,3.23,0.00,8.90,0.00,2.41,19.17,7.59,2.32,3.27,5.73,3.33,3.64,4.93,18.28,0.00
"Franklin, Charles J.",5.80,4.26,8.17,,1.02,1.46,6.86,1.06,0.52,6.85,1.27,5.26,2.84,0.79,1.17,1.29,1.44,6.09,2.94,1.02,5.75,2.95,9.09
"Kelley, Craig A.",2.61,1.09,23.25,3.85,,13.31,6.86,4.34,6.19,4.11,3.39,2.63,4.54,18.80,13.04,3.27,3.60,2.15,0.93,14.86,2.79,4.86,0.00
"Kopon, Derek Andrew",1.74,1.42,3.74,7.05,5.91,,10.78,0.57,0.65,2.74,0.85,7.89,0.99,5.14,9.73,0.47,0.39,1.43,0.93,0.36,2.30,2.87,0.00
"Levy, Ilan",1.45,0.55,0.21,0.96,0.44,1.66,,0.66,0.26,5.48,0.42,5.26,0.28,0.67,1.36,0.34,0.17,0.00,0.62,1.75,0.16,0.59,0.00
"Mallon, Alanna M.",10.43,16.70,2.56,4.49,6.42,1.87,2.94,,16.39,4.11,5.93,0.00,14.61,3.81,3.31,19.18,9.15,2.87,4.65,8.45,1.64,3.02,0.00
"McGovern, Marc C.",2.32,8.41,3.32,4.81,7.59,1.66,1.96,19.16,,8.22,6.36,2.63,11.21,4.11,3.70,10.19,16.91,2.87,3.10,17.33,1.48,4.42,18.18
"McNary, Jeffery",1.16,0.76,0.35,2.88,0.22,1.25,1.96,0.57,0.52,,0.85,5.26,0.28,0.67,0.97,0.17,0.61,1.08,0.39,0.51,0.16,0.15,9.09
"Mednick, Risa",2.90,2.07,1.11,2.56,1.09,0.42,1.96,2.21,1.94,6.85,,0.00,4.11,1.09,1.56,2.06,1.83,2.15,3.10,0.29,1.64,0.96,0.00
"Moree, Gregg J.",0.29,0.22,0.00,0.00,0.36,1.46,0.00,0.41,0.45,0.00,2.97,,0.43,0.18,0.39,0.17,0.22,0.00,0.08,0.80,0.33,0.07,9.09
"Musgrave, Adriane",3.48,11.57,0.76,5.13,2.26,2.91,0.98,6.80,5.16,5.48,10.17,10.53,,1.63,1.17,5.29,3.27,0.72,6.89,1.68,2.13,1.62,0.00
"Nolan, Patricia M.",4.93,1.75,21.25,7.05,20.66,20.17,4.90,4.10,3.55,5.48,11.02,13.16,4.68,,12.45,3.23,2.72,5.73,2.25,4.15,16.09,8.55,18.18
"Pitkin, John",1.74,0.66,1.94,3.21,3.72,17.67,2.94,1.06,1.61,2.74,5.51,2.63,1.70,5.32,,0.65,1.44,2.87,0.70,1.09,2.46,2.43,0.00
"Siddiqui, Sumbul",12.17,18.01,3.67,4.81,4.82,2.49,3.92,29.48,17.94,6.85,16.53,5.26,18.72,6.47,6.42,,20.84,7.53,16.11,8.30,7.06,12.09,0.00
"Simmons, E. Denise",8.99,5.13,2.08,6.09,5.99,0.62,3.92,8.52,21.35,9.59,6.78,10.53,4.54,3.39,4.86,18.24,,6.09,2.79,24.69,11.33,4.13,9.09
"Simon, Ben",2.61,0.66,0.42,5.77,1.09,1.46,4.90,0.41,0.65,2.74,0.42,5.26,0.85,1.63,2.92,1.33,2.00,,12.08,1.09,6.90,2.73,9.09
"Sobrinho-Wheeler, Jivan",5.22,14.63,1.52,9.94,1.24,2.49,0.98,2.29,2.71,5.48,4.66,0.00,9.50,1.27,1.95,7.31,1.88,20.43,,1.17,5.09,10.76,0.00
"Toomey, Jr., Timothy J.",1.45,1.31,1.04,2.24,3.94,1.46,4.90,5.32,8.97,6.85,1.27,18.42,1.42,1.93,3.11,4.13,17.07,5.02,2.25,,2.13,2.36,18.18
"Williams, Nicola A.",8.12,1.75,3.25,3.21,2.70,4.37,5.88,1.56,1.16,1.37,2.54,0.00,1.13,7.92,9.53,2.32,5.54,8.24,5.65,1.46,,12.68,0.00
"Zondervan, Quinton Y.",3.77,3.93,20.21,8.33,9.56,7.07,12.75,4.26,2.84,8.22,5.93,0.00,4.68,14.03,12.84,7.74,3.05,13.26,15.96,4.52,20.36,,0.00
writeIns,0.00,0.00,0.14,0.00,0.07,0.00,0.98,0.16,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.22,0.00,0.00,
