,"Allen, Ruth Ryan","Bowman, Mannika L.","Dawson, Bernette J.","Dexter, Emily R.","Fantini, Alfred B.","Kadete, Elechi M.","Lim, Christopher","Rojas Villareal, Jose Luis","Weinstain, Rachel","Weinstein, David J.","Wilson, Ayesha",writeIns
first_choice,4.60,16.01,5.03,15.46,13.70,4.20,4.81,5.84,11.21,5.02,13.86,0.27
"Allen, Ruth Ryan",,2.70,4.71,2.93,11.53,2.33,3.43,1.59,4.59,3.69,5.72,3.77
"Bowman, Mannika L.",10.30,,17.30,18.51,13.90,11.53,8.35,10.41,13.96,12.00,18.42,7.55
"Dawson, Bernette J.",6.83,8.97,,4.53,2.82,2.21,7.82,4.41,5.83,5.85,9.58,0.00
"Dexter, Emily R.",11.87,36.73,14.43,,18.29,9.33,17.13,21.87,16.71,15.38,9.10,3.77
"Fantini, Alfred B.",28.11,8.49,4.91,14.55,,5.89,7.92,6.26,5.51,5.54,4.98,3.77
"Kadete, Elechi M.",2.02,3.41,4.81,6.43,3.01,,4.50,6.44,3.03,3.28,7.91,3.77
"Lim, Christopher",4.70,2.67,7.47,6.39,5.15,6.75,,10.05,4.32,6.56,5.39,1.89
"Rojas Villareal, Jose Luis",2.02,3.41,4.71,9.36,3.61,10.31,11.67,,5.10,5.33,6.98,3.77
"Weinstain, Rachel",6.72,7.43,8.50,12.75,5.75,5.77,9.96,8.47,,21.95,13.22,1.89
"Weinstein, David J.",4.26,4.60,6.04,7.56,4.66,5.89,6.75,6.97,11.43,,4.75,1.89
"Wilson, Ayesha",9.41,13.06,18.22,8.06,6.09,26.26,8.99,11.99,17.40,10.77,,3.77
writeIns,0.34,0.03,0.00,0.07,0.04,0.00,0.00,0.26,0.00,0.21,0.11,
exhaust,13.44,8.49,8.90,8.86,25.17,13.74,13.49,11.29,12.12,9.44,13.82,64.15
