contest_name,place,state,year,date,office,rcv_type,number_of_winners,tabulation_num,winner,unique_id,win_threshold,number_of_candidates,number_of_rounds,winners_consensus_value,total_ballots,first_round_active_votes,final_round_active_votes,total_fully_ranked,ranked_single,ranked_multiple,total_undervote,first_round_overvote,total_ballots_with_overvote,total_exhausted,total_exhausted_by_overvote,total_exhausted_by_skipped_rankings,total_exhausted_by_abstention,total_exhausted_by_rank_limit,includes_duplicate_ranking,includes_skipped_ranking,total_irregular
,,,,,,,Number of winners a contest had.,Tabulation number,The winner(s) of the election.,,"Election threshold, if static, otherwise NA","The number of candidates on the ballot, not including write-ins.",Number of rounds in the tabulation.,The percentage of valid first round votes that rank any winner in the top 3.,This includes ballots with no marks. (weighted),The number of votes that were awarded to any candidate in the first round. (weighted),The number of votes that were awarded to any candidate in the final round. (weighted),"The number of voters that have validly used all available rankings on the ballot, or that have validly ranked all non-write-in candidates. (weighted)",The number of voters that validly used only a single ranking. (weighted),The number of voters that validly use more than one ranking. (weighted),Ballots completely made up of skipped rankings (no marks). (weighted),"The number of ballots with an overvote before any valid ranking. (weighted) Note that this is not the same as ""exhausted by overvote"". This is because some jurisdictions (Maine) discard any ballot beginning with two skipped rankings, and call this ballot as exhausted by skipped rankings, even if the skipped rankings are followed by an overvote. Other jursidictions (Minneapolis) simply skip over overvotes in a ballot.",Number of ballots with at least one overvote. Not necessarily cause of exhaustion. (weighted),Number of ballots (excluding undervotes) that do not rank a finalist or were exhausted from overvotes/skipped ranks rules. (weighted),Number of ballots exhausted due to overvote. Only applicable to certain contests. (weighted),Number of ballots exhausted due to repeated skipped rankings. Only applicable to certain contests. (weighted),Number of ballots exhausted after all marked rankings used and ballot is not fully ranked. (weighted),Number of ballots exhausted after all marked rankings used and ballot is fully ranked. Fully ranked here means the last rank was used OR all candidates were ranked(weighted),The number of ballots that rank the same candidate more than once. (weighted),The number of ballots that have an skipped ranking followed by any other mark valid ranking. (weighted),"Number of ballots that either had a multiple ranking, overvote, or a skipped ranking. This includes ballots even where the irregularity was not the cause of exhaustion. (weighted)"
Cambridge City Council 2001,Cambridge,MA,2001,11/6/2001,City Council,stv_whole_ballot,9,1,"Galluccio, Anthony D., Murphy, Brian, Davis, Henrietta, Sullivan, Michael A., Decker, Marjorie C., Simmons, Denise, Toomey, Timothy J., Jr., Reeves, Kenneth E., Maher, David P.",Cambridge_11062001_CityCouncil_tab1,1713.0,19,18,96.75931332476935,17688.0,17126.0,15768.0,443.0,1314.0,15812.0,199.0,533.0,749.0,1721.0,0.0,0.0,1716.0,5.0,0.0,866.0,1414.0
Cambridge City Council 2003,Cambridge,MA,2003,11/4/2003,City Council,stv_whole_ballot,9,1,"Galluccio, Anthony D., Davis, Henrietta, Sullivan, Michael A., Decker, Marjorie C., Murphy, Brian, Toomey, Timothy J., Jr., Reeves, Kenneth E., Maher, David P., Simmons, Denise",Cambridge_11042003_CityCouncil_tab1,2009.0,20,17,92.19123505976096,20958.0,20080.0,18337.0,588.0,1658.0,18422.0,421.0,641.0,893.0,2200.0,0.0,0.0,2185.0,15.0,0.0,1049.0,1709.0
Cambridge School Committee 2003,Cambridge,MA,2003,11/4/2003,School Committee,stv_whole_ballot,6,1,"Walser, Nancy, Fantini, Alfred B., Mcgovern, Marc C., Lummis, Ben, Harding, Richard, Jr., Grassi, Joseph G.",Cambridge_11042003_SchoolCommittee_tab1,2672.0,8,6,98.2351053588619,20908.0,18698.0,18192.0,1587.0,3366.0,15332.0,1835.0,510.0,651.0,881.0,0.0,0.0,870.0,11.0,0.0,459.0,974.0
Cambridge City Council 2005,Cambridge,MA,2005,11/8/2005,City Council,stv_whole_ballot,9,1,"Galluccio, Anthony D., Sullivan, Michael A., Decker, Marjorie C., Davis, Henrietta, Toomey, Timothy J., Jr., Simmons, Denise, Reeves, Kenneth E., Murphy, Brian, Kelley, Craig A.",Cambridge_11082005_CityCouncil_tab1,1608.0,18,16,96.28500311138768,16202.0,16070.0,14925.0,572.0,1201.0,14869.0,87.0,69.0,125.0,1190.0,0.0,0.0,1188.0,2.0,0.0,489.0,577.0
Cambridge School Committee 2005,Cambridge,MA,2005,11/8/2005,School Committee,stv_whole_ballot,6,1,"Nolan, Patricia M., Fantini, Alfred B., Walser, Nancy, Harding, Richard, Jr., Schuster, Luc, Grassi, Joseph G.",Cambridge_11082005_SchoolCommittee_tab1,2211.0,8,6,96.92954104718811,16189.0,15470.0,15187.0,1541.0,2461.0,13009.0,676.0,60.0,83.0,326.0,0.0,0.0,324.0,2.0,0.0,238.0,303.0
Cambridge City Council 2007,Cambridge,MA,2007,11/6/2007,City Council,stv_whole_ballot,9,1,"Davis, Henrietta, Toomey, Timothy J., Jr., Maher, David P., Reeves, Kenneth E., Murphy, Brian, Decker, Marjorie C., Simmons, E. Denise, Kelley, Craig A., Seidel, Sam",Cambridge_11062007_CityCouncil_tab1,1364.0,16,15,96.17105552703,13721.0,13633.0,12588.0,548.0,1082.0,12551.0,58.0,48.0,73.0,1075.0,0.0,0.0,1071.0,4.0,0.0,392.0,444.0
Cambridge School Committee 2007,Cambridge,MA,2007,11/6/2007,School Committee,stv_whole_ballot,6,1,"Fantini, Alfred B., Mcgovern, Marc C., Nolan, Patricia M., Schuster, Luc, Tauber, Nancy, Grassi, Joseph G.",Cambridge_11062007_SchoolCommittee_tab1,1897.0,9,7,95.29978909310033,13709.0,13276.0,12195.0,1101.0,2009.0,11267.0,405.0,45.0,64.0,1109.0,0.0,0.0,1107.0,2.0,0.0,210.0,260.0
Cambridge City Council 2009,Cambridge,MA,2009,11/3/2009,City Council,stv_whole_ballot,9,1,"Simmons, E. Denise, Davis, Henrietta, Toomey, Jr., Timothy J., Kelley, Craig A., Reeves, Kenneth E., Maher, David P., Decker, Marjorie C., Cheung, Leland, Seidel, Sam",Cambridge_11032009_CityCouncil_tab1,1596.0,21,17,94.37793795048574,16073.0,15955.0,14432.0,475.0,1597.0,14358.0,89.0,47.0,81.0,1552.0,0.0,0.0,1548.0,4.0,0.0,497.0,557.0
Cambridge City Council 2011,Cambridge,MA,2011,11/8/2011,City Council,stv_whole_ballot,9,1,"Cheung, Leland, Maher, David P., Toomey, Jr., Timothy J., Davis, Henrietta, Simmons, E. Denise, Kelley, Craig A., Decker, Marjorie C., Reeves, Kenneth E., Vanbeuzekom, Minka Y.",Cambridge_11082011_CityCouncil_tab1,1585.0,18,15,95.79678131902809,15971.0,15845.0,14649.0,559.0,1492.0,14353.0,82.0,61.0,96.0,1240.0,0.0,0.0,1236.0,4.0,0.0,455.0,528.0
Cambridge School Committee 2011,Cambridge,MA,2011,11/8/2011,School Committee,stv_whole_ballot,6,1,"Fantini, Alfred B., Nolan, Patricia M., Turkel, Alice L., Osborne, Mervan F., Harding, Jr., Richard, Mcgovern, Marc C.",Cambridge_11082011_SchoolCommittee_tab1,2185.0,11,10,95.40222367560497,15904.0,15290.0,13912.0,807.0,2497.0,12793.0,577.0,47.0,72.0,1415.0,0.0,0.0,1409.0,6.0,0.0,295.0,350.0
Cambridge City Council 2013,Cambridge,MA,2013,11/5/2013,City Council,stv_whole_ballot,9,1,"Cheung, Leland, Maher, David P., Simmons, E. Denise, Toomey, Jr., Timothy J., Benzan, Dennis A., Mazen, Nadeem A., Mcgovern, Marc C., Kelley, Craig A., Carlone, Dennis J.",Cambridge_11052013_CityCouncil_tab1,1775.0,25,22,93.1691371244998,17846.0,17743.0,16418.0,452.0,1563.0,16180.0,72.0,44.0,76.0,1356.0,0.0,0.0,1351.0,5.0,0.0,581.0,638.0
Cambridge School Committee 2013,Cambridge,MA,2013,11/5/2013,School Committee,stv_whole_ballot,6,1,"Nolan, Patricia M., Fantini, Alfred B., Kelly, Kathleen M., Harding, Jr., Richard, Cronin, Fran Albin, Osborne, Mervan F.",Cambridge_11052013_SchoolCommittee_tab1,2371.0,9,8,96.99252651880424,17720.0,16592.0,14757.0,1301.0,3205.0,13387.0,1104.0,27.0,45.0,1859.0,0.0,0.0,1853.0,6.0,0.0,288.0,325.0
Cambridge City Council 2015,Cambridge,MA,2015,11/3/2015,City Council,stv_whole_ballot,9,1,"Mazen, Nadeem A., Simmons, E. Denise, Maher, David P., Devereux, Jan, Kelley, Craig A., Carlone, Dennis J., Cheung, Leland, Toomey, Jr., Timothy J., Mcgovern, Marc C.",Cambridge_11032015_CityCouncil_tab1,1786.0,23,21,94.9367088607595,17959.0,17854.0,16736.0,419.0,1310.0,16544.0,57.0,69.0,120.0,1166.0,0.0,0.0,1158.0,8.0,0.0,554.0,640.0
Cambridge School Committee 2015,Cambridge,MA,2015,11/3/2015,School Committee,stv_whole_ballot,6,1,"Nolan, Patricia M., Fantini, Alfred B., Harding, Jr., Richard, Kelly, Kathleen M., Dexter, Emily R., Bowman, Manikka L.",Cambridge_11032015_SchoolCommittee_tab1,2400.0,11,10,92.97493600047628,17859.0,16797.0,14609.0,892.0,3010.0,13787.0,1019.0,49.0,76.0,2231.0,0.0,0.0,2227.0,4.0,0.0,345.0,402.0
Cambridge City Council 2017,Cambridge,MA,2017,11/7/2017,City Council,stv_whole_ballot,9,1,"Simmons, E. Denise, Siddiqui, Sumbul, Mcgovern, Marc C., Devereux, Jan, Mallon, Alanna M., Zondervan, Quinton Y., Toomey, Jr., Timothy J., Kelley, Craig A., Carlone, Dennis J.",Cambridge_11072017_CityCouncil_tab1,2253.0,26,23,92.84762919552477,22596.0,22524.0,20003.0,564.0,1546.0,20978.0,51.0,30.0,63.0,2542.0,0.0,0.0,2535.0,7.0,0.0,713.0,752.0
Cambridge School Committee 2017,Cambridge,MA,2017,11/7/2017,School Committee,stv_whole_ballot,6,1,"Nolan, Patricia M., Bowman, Manikka L., Dexter, Emily R., Fantini, Alfred B., Kelly, Kathleen M., Kimbrough, Laurance V.",Cambridge_11072017_SchoolCommittee_tab1,2959.0,12,11,91.9596291288391,22452.0,20708.0,18127.0,1056.0,3340.0,17368.0,1723.0,30.0,43.0,2602.0,0.0,0.0,2597.0,5.0,0.0,400.0,431.0
