Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,16589,3.7213213575260715,3
"Cronin, Fran Albin",1832,3.853165938864629,3.0
"Fantini, Alfred B.",2858,3.1882435269419176,3.0
"Gerber, Joyce C.",1125,4.082666666666666,4
"Harding, Jr., Richard",2359,3.532852903772785,3
"Holland, John J.",589,3.497453310696095,3
"Kadete, Elechi M.",493,4.123732251521298,4
"Kelly, Kathleen M.",2102,3.9804947668886776,4.0
"Nolan, Patricia M.",3921,3.844937515939811,3
"Osborne, Mervan F.",1238,4.008885298869144,4.0
writeIns,72,1.8888888888888888,1.0
