Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,21209,6.759583195813098,7
"Akiba, Sukia",360,7.663888888888889,7.0
"Azeem, Burhan",960,7.782291666666667,9.0
"Carlone, Dennis J.",1474,7.1390773405698775,7.0
"Franklin, Charles J.",323,7.780185758513932,7
"Kelley, Craig A.",1422,6.394514767932489,6.0
"Kopon, Derek Andrew",491,6.965376782077393,7
"Levy, Ilan",109,6.834862385321101,7
"Mallon, Alanna M.",1254,6.901116427432217,6.0
"McGovern, Marc C.",1618,6.668726823238566,6.0
"McNary, Jeffery",77,7.090909090909091,7
"Mednick, Risa",242,7.2809917355371905,8.0
"Moree, Gregg J.",46,5.673913043478261,5.0
"Musgrave, Adriane",724,7.640883977900552,8.0
"Nolan, Patricia M.",1685,6.997626112759644,7
"Pitkin, John",536,6.690298507462686,7.0
"Siddiqui, Sumbul",2515,6.692246520874751,6
"Simmons, E. Denise",2006,6.135094715852443,5.0
"Simon, Ben",294,6.744897959183674,7.0
"Sobrinho-Wheeler, Jivan",1319,7.877937831690675,8
"Toomey, Jr., Timothy J.",1727,4.194557035321367,3
"Williams, Nicola A.",630,7.355555555555555,8.0
"Zondervan, Quinton Y.",1380,7.573188405797102,8.0
writeIns,17,4.529411764705882,3
