candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer
"Leavitt, Neal W.",0.852,136.0,4.0,0.877,140.0,0.0,0.878,140.0,1.0,0.885,141.0,1.0,0.892,142.0,2.0,0.905,144.0,3.0,0.925,147.0,8.0,0.977,155.0,-155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Simmons, E. Denise",11.188,1785.0,-189.0,10.003,1596.0,0.0,10.013,1596.0,0.0,10.016,1596.0,0.0,10.021,1596.0,0.0,10.033,1596.0,0.0,10.042,1596.0,0.0,10.061,1596.0,0.0,10.076,1596.0,0.0,10.101,1596.0,0.0,10.144,1596.0,0.0,10.214,1596.0,0.0,10.314,1596.0,0.0,10.314,1596.0,0.0,10.466,1596.0,0.0,10.466,1596.0,0.0,11.059,1596.0,
"Reeves, Kenneth E.",7.308,1166.0,111.0,8.004,1277.0,4.0,8.036,1281.0,5.0,8.071,1286.0,8.0,8.125,1294.0,10.0,8.197,1304.0,30.0,8.394,1334.0,13.0,8.491,1347.0,9.0,8.561,1356.0,26.0,8.746,1382.0,13.0,8.867,1395.0,24.0,9.082,1419.0,52.0,9.506,1471.0,5.0,9.539,1476.0,216.0,11.096,1692.0,-96.0,10.466,1596.0,0.0,11.059,1596.0,
"Flanagan, Mark F.",0.702,112.0,8.0,0.752,120.0,1.0,0.759,121.0,0.0,0.759,121.0,6.0,0.797,127.0,4.0,0.823,131.0,9.0,0.881,140.0,-140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Decker, Marjorie C.",8.054,1285.0,46.0,8.342,1331.0,1.0,8.356,1332.0,1.0,8.366,1333.0,1.0,8.376,1334.0,2.0,8.398,1336.0,3.0,8.425,1339.0,1.0,8.447,1340.0,3.0,8.479,1343.0,23.0,8.645,1366.0,13.0,8.765,1379.0,14.0,8.915,1393.0,48.0,9.312,1441.0,2.0,9.325,1443.0,69.0,9.915,1512.0,23.0,10.066,1535.0,78.0,11.177,1613.0,
"Cheung, Leland",4.738,756.0,34.0,4.951,790.0,3.0,4.975,793.0,2.0,4.989,795.0,7.0,5.036,802.0,7.0,5.085,809.0,15.0,5.185,824.0,15.0,5.289,839.0,19.0,5.417,858.0,37.0,5.664,895.0,43.0,5.962,938.0,74.0,6.477,1012.0,189.0,7.761,1201.0,8.0,7.813,1209.0,99.0,8.578,1308.0,28.0,8.761,1336.0,182.0,10.518,1518.0,
"Marquardt, Charles J.",2.413,385.0,8.0,2.463,393.0,1.0,2.472,394.0,1.0,2.479,395.0,1.0,2.487,396.0,5.0,2.521,401.0,7.0,2.567,408.0,5.0,2.603,413.0,10.0,2.671,423.0,29.0,2.861,452.0,20.0,3.0,472.0,-472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Sullivan, Edward J.",5.547,885.0,63.0,5.942,948.0,0.0,5.947,948.0,4.0,5.975,952.0,1.0,5.984,953.0,2.0,6.003,955.0,1.0,6.015,956.0,7.0,6.07,963.0,6.0,6.118,969.0,7.0,6.177,976.0,30.0,6.394,1006.0,61.0,6.829,1067.0,37.0,7.135,1104.0,3.0,7.154,1107.0,51.0,7.594,1158.0,64.0,8.014,1222.0,-1222.0,0.0,0.0,
"vanBeuzekom, Minka Y.",4.275,682.0,44.0,4.55,726.0,0.0,4.555,726.0,2.0,4.569,728.0,5.0,4.603,733.0,6.0,4.645,739.0,10.0,4.713,749.0,9.0,4.778,758.0,8.0,4.836,766.0,51.0,5.171,817.0,47.0,5.492,864.0,35.0,5.754,899.0,-899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Davis, Henrietta",11.645,1858.0,-262.0,10.003,1596.0,0.0,10.013,1596.0,0.0,10.016,1596.0,0.0,10.021,1596.0,0.0,10.033,1596.0,0.0,10.042,1596.0,0.0,10.061,1596.0,0.0,10.076,1596.0,0.0,10.101,1596.0,0.0,10.144,1596.0,0.0,10.214,1596.0,0.0,10.314,1596.0,0.0,10.314,1596.0,0.0,10.466,1596.0,0.0,10.466,1596.0,0.0,11.059,1596.0,
"Podgers, Kathy",0.489,78.0,4.0,0.514,82.0,1.0,0.521,83.0,13.0,0.602,96.0,6.0,0.64,102.0,-102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
