candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer,r19_active_percent,r19_count,r19_transfer,r20_active_percent,r20_count,r20_transfer
writeIns,0.146,26.0,0.0,0.146,26.0,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Kelley, Craig A.",8.036,1433.0,7.0,8.075,1440.0,1.0,8.087,1441.0,4.0,8.11,1445.0,3.0,8.128,1448.0,1.0,8.138,1449.0,3.0,8.158,1452.0,4.0,8.187,1456.0,2.0,8.205,1458.0,11.0,8.277,1469.0,9.0,8.333,1478.0,14.0,8.43,1492.0,9.0,8.494,1501.0,2.0,8.505,1503.0,45.0,8.785,1548.0,83.0,9.356,1631.0,0.0,9.356,1631.0,97.0,10.093,1728.0,13.0,10.169,1741.0,227.0,11.763,1968.0,
"Simmons, E. Denise",9.589,1710.0,9.0,9.639,1719.0,0.0,9.647,1719.0,0.0,9.648,1719.0,3.0,9.667,1722.0,3.0,9.688,1725.0,5.0,9.72,1730.0,17.0,9.823,1747.0,5.0,9.859,1752.0,3.0,9.888,1755.0,6.0,9.929,1761.0,12.0,10.018,1773.0,29.0,10.197,1802.0,-18.0,10.096,1784.0,0.0,10.124,1784.0,0.0,10.233,1784.0,0.0,10.233,1784.0,0.0,10.42,1784.0,0.0,10.42,1784.0,0.0,10.663,1784.0,
"Levy, Ilan S.",0.858,153.0,1.0,0.864,154.0,0.0,0.864,154.0,0.0,0.864,154.0,1.0,0.87,155.0,3.0,0.887,158.0,3.0,0.905,161.0,0.0,0.905,161.0,5.0,0.934,166.0,21.0,1.054,187.0,-187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Mazen, Nadeem A.",10.817,1929.0,-145.0,10.004,1784.0,0.0,10.012,1784.0,0.0,10.013,1784.0,0.0,10.015,1784.0,0.0,10.02,1784.0,0.0,10.024,1784.0,0.0,10.031,1784.0,0.0,10.039,1784.0,0.0,10.051,1784.0,0.0,10.059,1784.0,0.0,10.08,1784.0,0.0,10.096,1784.0,0.0,10.096,1784.0,0.0,10.124,1784.0,0.0,10.233,1784.0,0.0,10.233,1784.0,0.0,10.42,1784.0,0.0,10.42,1784.0,0.0,10.663,1784.0,
"Waite, Romaine",1.531,273.0,10.0,1.587,283.0,1.0,1.594,284.0,0.0,1.594,284.0,2.0,1.605,286.0,2.0,1.618,288.0,7.0,1.657,295.0,1.0,1.664,296.0,2.0,1.677,298.0,4.0,1.702,302.0,12.0,1.77,314.0,5.0,1.802,319.0,-319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"vanBeuzekom, Minka Y.",5.686,1014.0,8.0,5.731,1022.0,1.0,5.741,1023.0,1.0,5.747,1024.0,1.0,5.754,1025.0,3.0,5.774,1028.0,6.0,5.81,1034.0,3.0,5.831,1037.0,6.0,5.869,1043.0,14.0,5.955,1057.0,18.0,6.061,1075.0,11.0,6.136,1086.0,29.0,6.31,1115.0,1.0,6.315,1116.0,77.0,6.77,1193.0,161.0,7.767,1354.0,1.0,7.773,1355.0,99.0,8.492,1454.0,9.0,8.545,1463.0,-1463.0,0.0,0.0,
"Maher, David P.",9.18,1637.0,12.0,9.247,1649.0,0.0,9.254,1649.0,0.0,9.255,1649.0,3.0,9.274,1652.0,2.0,9.29,1654.0,2.0,9.304,1656.0,8.0,9.357,1664.0,2.0,9.375,1666.0,12.0,9.454,1678.0,6.0,9.495,1684.0,56.0,9.831,1740.0,3.0,9.864,1743.0,2.0,9.875,1745.0,19.0,10.011,1764.0,27.0,10.274,1791.0,-7.0,10.233,1784.0,0.0,10.42,1784.0,0.0,10.42,1784.0,0.0,10.663,1784.0,
"Mello, Gary W.",0.656,117.0,0.0,0.656,117.0,0.0,0.657,117.0,0.0,0.657,117.0,0.0,0.657,117.0,1.0,0.663,118.0,14.0,0.742,132.0,4.0,0.765,136.0,8.0,0.81,144.0,-144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Cheung, Leland",6.656,1187.0,7.0,6.695,1194.0,1.0,6.706,1195.0,1.0,6.713,1196.0,4.0,6.736,1200.0,2.0,6.751,1202.0,3.0,6.77,1205.0,8.0,6.821,1213.0,1.0,6.832,1214.0,5.0,6.868,1219.0,11.0,6.935,1230.0,12.0,7.017,1242.0,18.0,7.13,1260.0,3.0,7.147,1263.0,54.0,7.474,1317.0,175.0,8.558,1492.0,2.0,8.57,1494.0,196.0,9.871,1690.0,12.0,9.941,1702.0,329.0,12.14,2031.0,
