candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer
"Murphy, Brian",6.815,1356.0,30.0,6.966,1386.0,0.0,6.973,1386.0,2.0,6.984,1388.0,3.0,7.0,1391.0,2.0,7.016,1393.0,7.0,7.058,1400.0,13.0,7.132,1413.0,24.0,7.273,1437.0,32.0,7.459,1469.0,4.0,7.479,1473.0,114.0,8.099,1587.0,2.0,8.11,1589.0,144.0,8.939,1733.0,297.0,10.629,2030.0,-40.0,10.419,1990.0,0.0,10.909,1990.0,
writeIns,0.186,37.0,1.0,0.191,38.0,-38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Kelley, Craig A.",4.941,983.0,29.0,5.086,1012.0,2.0,5.101,1014.0,1.0,5.107,1015.0,5.0,5.133,1020.0,27.0,5.273,1047.0,11.0,5.333,1058.0,8.0,5.38,1066.0,23.0,5.512,1089.0,25.0,5.656,1114.0,1.0,5.661,1115.0,62.0,6.007,1177.0,1.0,6.012,1178.0,-1178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Sullivan, Michael A.",8.213,1634.0,264.0,9.54,1898.0,2.0,9.558,1900.0,0.0,9.56,1900.0,5.0,9.587,1905.0,5.0,9.62,1910.0,4.0,9.649,1914.0,6.0,9.691,1920.0,36.0,9.9,1956.0,22.0,10.043,1978.0,0.0,10.043,1978.0,48.0,10.34,2026.0,-36.0,10.156,1990.0,0.0,10.265,1990.0,0.0,10.419,1990.0,0.0,10.419,1990.0,0.0,10.909,1990.0,
"Reeves, Kenneth E.",7.584,1509.0,75.0,7.961,1584.0,4.0,7.989,1588.0,2.0,8.0,1590.0,4.0,8.022,1594.0,5.0,8.053,1599.0,11.0,8.116,1610.0,7.0,8.161,1617.0,34.0,8.356,1651.0,29.0,8.53,1680.0,1.0,8.535,1681.0,39.0,8.778,1720.0,1.0,8.783,1721.0,71.0,9.244,1792.0,78.0,9.791,1870.0,36.0,9.98,1906.0,190.0,11.49,2096.0,
"Maher, David P.",5.916,1177.0,237.0,7.107,1414.0,0.0,7.113,1414.0,3.0,7.13,1417.0,3.0,7.146,1420.0,10.0,7.202,1430.0,3.0,7.224,1433.0,6.0,7.263,1439.0,49.0,7.531,1488.0,5.0,7.581,1493.0,1.0,7.586,1494.0,65.0,7.957,1559.0,13.0,8.023,1572.0,125.0,8.754,1697.0,125.0,9.54,1822.0,26.0,9.676,1848.0,190.0,11.172,2038.0,
"Smith, Aimee Louise",2.397,477.0,3.0,2.413,480.0,1.0,2.42,481.0,4.0,2.44,485.0,1.0,2.446,486.0,1.0,2.453,487.0,8.0,2.495,495.0,18.0,2.589,513.0,9.0,2.642,522.0,-522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Davis, Henrietta",9.203,1831.0,55.0,9.479,1886.0,3.0,9.503,1889.0,2.0,9.514,1891.0,3.0,9.531,1894.0,5.0,9.564,1899.0,10.0,9.623,1909.0,28.0,9.776,1937.0,28.0,9.945,1965.0,43.0,10.195,2008.0,-18.0,10.104,1990.0,0.0,10.156,1990.0,0.0,10.156,1990.0,0.0,10.265,1990.0,0.0,10.419,1990.0,0.0,10.419,1990.0,0.0,10.909,1990.0,
"DeBergalis, Matt S.",6.046,1203.0,16.0,6.127,1219.0,0.0,6.132,1219.0,4.0,6.153,1223.0,7.0,6.19,1230.0,2.0,6.205,1232.0,4.0,6.231,1236.0,9.0,6.284,1245.0,42.0,6.514,1287.0,59.0,6.834,1346.0,0.0,6.834,1346.0,97.0,7.364,1443.0,1.0,7.37,1444.0,53.0,7.722,1497.0,141.0,8.576,1638.0,4.0,8.597,1642.0,-1642.0,0.0,0.0,
"Simmons, Denise",5.855,1165.0,29.0,6.001,1194.0,1.0,6.012,1195.0,0.0,6.013,1195.0,6.0,6.044,1201.0,11.0,6.104,1212.0,9.0,6.155,1221.0,15.0,6.238,1236.0,25.0,6.382,1261.0,106.0,6.941,1367.0,1.0,6.946,1368.0,71.0,7.344,1439.0,1.0,7.349,1440.0,90.0,7.892,1530.0,182.0,8.964,1712.0,55.0,9.252,1767.0,250.0,11.057,2017.0,
"Bellew, Carole K.",3.664,729.0,20.0,3.765,749.0,1.0,3.773,750.0,1.0,3.779,751.0,1.0,3.784,752.0,5.0,3.813,757.0,4.0,3.836,761.0,17.0,3.927,778.0,24.0,4.059,802.0,48.0,4.316,850.0,2.0,4.326,852.0,-852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Hall, Robert L., Sr.",0.467,93.0,4.0,0.488,97.0,0.0,0.488,97.0,12.0,0.548,109.0,10.0,0.599,119.0,-119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Greenwood, Dan J.",0.196,39.0,5.0,0.221,44.0,0.0,0.221,44.0,-44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"LaTremouille, Robert J.",0.613,122.0,3.0,0.628,125.0,0.0,0.629,125.0,2.0,0.639,127.0,3.0,0.654,130.0,6.0,0.685,136.0,-136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Toomey, Timothy J., Jr.",8.037,1599.0,116.0,8.62,1715.0,0.0,8.628,1715.0,0.0,8.629,1715.0,2.0,8.641,1717.0,3.0,8.663,1720.0,8.0,8.711,1728.0,10.0,8.772,1738.0,12.0,8.857,1750.0,14.0,8.957,1764.0,1.0,8.962,1765.0,51.0,9.268,1816.0,15.0,9.345,1831.0,65.0,9.78,1896.0,78.0,10.336,1974.0,12.0,10.398,1986.0,155.0,11.737,2141.0,
"Pitkin, John",5.051,1005.0,24.0,5.172,1029.0,1.0,5.182,1030.0,1.0,5.187,1031.0,3.0,5.204,1034.0,7.0,5.243,1041.0,12.0,5.308,1053.0,9.0,5.36,1062.0,25.0,5.502,1087.0,37.0,5.707,1124.0,2.0,5.717,1126.0,94.0,6.226,1220.0,0.0,6.226,1220.0,272.0,7.696,1492.0,-1492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Taymorberry, Laurie",0.885,176.0,6.0,0.915,182.0,0.0,0.916,182.0,0.0,0.916,182.0,1.0,0.921,183.0,3.0,0.937,186.0,11.0,0.993,197.0,-197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Dixon, Vincent Lawrence",0.322,64.0,3.0,0.337,67.0,1.0,0.342,68.0,1.0,0.347,69.0,-69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
