candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer
"Lummis, Ben",13.927,2604.0,348.0,15.788,2952.0,-280.0,14.29,2672.0,0.0,14.29,2672.0,0.0,14.349,2672.0,0.0,14.688,2672.0,
"Walser, Nancy",20.548,3842.0,-1170.0,14.29,2672.0,0.0,14.29,2672.0,0.0,14.29,2672.0,0.0,14.349,2672.0,0.0,14.688,2672.0,
writeIns,0.535,100.0,1.0,0.54,101.0,0.0,0.54,101.0,0.0,0.54,101.0,-101.0,0.0,0.0,0.0,0.0,0.0,
"Fantini, Alfred B.",15.536,2905.0,-233.0,14.29,2672.0,0.0,14.29,2672.0,0.0,14.29,2672.0,0.0,14.349,2672.0,0.0,14.688,2672.0,
"Craig, Christopher",3.064,573.0,120.0,3.706,693.0,68.0,4.07,761.0,1.0,4.075,762.0,11.0,4.151,773.0,-773.0,0.0,0.0,
"Harding, Richard, Jr.",12.632,2362.0,268.0,14.066,2630.0,63.0,14.403,2693.0,-21.0,14.29,2672.0,0.0,14.349,2672.0,0.0,14.688,2672.0,
"Grassi, Joseph G.",12.274,2295.0,320.0,13.985,2615.0,36.0,14.178,2651.0,9.0,14.226,2660.0,3.0,14.301,2663.0,175.0,15.6,2838.0,
"McGovern, Marc C.",14.526,2716.0,-44.0,14.29,2672.0,0.0,14.29,2672.0,0.0,14.29,2672.0,0.0,14.349,2672.0,0.0,14.688,2672.0,
"Price, Alan C.",6.958,1301.0,390.0,9.044,1691.0,113.0,9.648,1804.0,11.0,9.707,1815.0,10.0,9.801,1825.0,169.0,10.961,1994.0,
exhaust,0.0,375.0,0.0,0.0,375.0,0.0,0.0,375.0,0.0,0.0,375.0,77.0,0.0,452.0,429.0,0.0,881.0,
colsum,99.99999999999999,19073.0,0.0,99.99900000000001,19073.0,0.0,99.999,19073.0,0.0,99.99799999999999,19073.0,0.0,99.998,19073.0,0.0,100.001,19073.0,
