candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer
"Cronin, Fran Albin",11.043,1832.0,280.0,12.731,2112.0,82.0,13.226,2194.0,7.0,13.321,2201.0,106.0,14.159,2307.0,147.0,15.447,2454.0,-84.0,14.918,2370.0,0.0,16.047,2370.0,
"Harding, Jr., Richard",14.22,2359.0,478.0,17.102,2837.0,-467.0,14.287,2370.0,0.0,14.344,2370.0,0.0,14.545,2370.0,0.0,14.918,2370.0,0.0,14.918,2370.0,0.0,16.047,2370.0,
"Osborne, Mervan F.",7.463,1238.0,410.0,9.934,1648.0,285.0,11.652,1933.0,4.0,11.723,1937.0,160.0,12.87,2097.0,136.0,14.056,2233.0,47.0,14.351,2280.0,639.0,19.764,2919.0,
"Gerber, Joyce C.",6.782,1125.0,294.0,8.554,1419.0,52.0,8.867,1471.0,3.0,8.921,1474.0,81.0,9.543,1555.0,165.0,10.826,1720.0,37.0,11.059,1757.0,-1757.0,0.0,0.0,
"Fantini, Alfred B.",17.228,2858.0,-488.0,14.287,2370.0,0.0,14.287,2370.0,0.0,14.344,2370.0,0.0,14.545,2370.0,0.0,14.918,2370.0,0.0,14.918,2370.0,0.0,16.047,2370.0,
writeIns,0.434,72.0,11.0,0.5,83.0,3.0,0.518,86.0,-86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Kelly, Kathleen M.",12.671,2102.0,341.0,14.727,2443.0,-73.0,14.287,2370.0,0.0,14.344,2370.0,0.0,14.545,2370.0,0.0,14.918,2370.0,0.0,14.918,2370.0,0.0,16.047,2370.0,
"Nolan, Patricia M.",23.636,3921.0,-1551.0,14.287,2370.0,0.0,14.287,2370.0,0.0,14.344,2370.0,0.0,14.545,2370.0,0.0,14.918,2370.0,0.0,14.918,2370.0,0.0,16.047,2370.0,
"Holland, John J.",3.551,589.0,149.0,4.449,738.0,56.0,4.786,794.0,2.0,4.818,796.0,59.0,5.247,855.0,-855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Kadete, Elechi M.",2.972,493.0,76.0,3.43,569.0,62.0,3.804,631.0,4.0,3.843,635.0,-635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,27.0,0.0,0.0,27.0,0.0,0.0,27.0,66.0,0.0,93.0,229.0,0.0,322.0,407.0,0.0,729.0,0.0,0.0,729.0,1118.0,0.0,1847.0,
colsum,99.99999999999999,16616.0,0.0,100.001,16616.0,0.0,100.001,16616.0,0.0,100.002,16616.0,0.0,99.999,16616.0,0.0,100.001,16616.0,0.0,100.0,16616.0,0.0,99.999,16616.0,
