candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer
"Murphy, Brian",10.067,1707.0,-11.0,10.002,1696.0,0.0,10.01,1696.0,0.0,10.012,1696.0,0.0,10.017,1696.0,0.0,10.024,1696.0,0.0,10.03,1696.0,0.0,10.03,1696.0,0.0,10.043,1696.0,0.0,10.058,1696.0,0.0,10.058,1696.0,0.0,10.126,1696.0,0.0,10.174,1696.0,0.0,10.246,1696.0,0.0,10.246,1696.0,0.0,10.832,1696.0,
writeIns,0.177,30.0,0.0,0.177,30.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Hall, Robert L.",0.879,149.0,31.0,1.062,180.0,0.0,1.062,180.0,2.0,1.074,182.0,4.0,1.099,186.0,2.0,1.111,188.0,14.0,1.195,202.0,0.0,1.195,202.0,3.0,1.214,205.0,-205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Sullivan, Michael A.",7.649,1297.0,357.0,9.755,1654.0,2.0,9.774,1656.0,6.0,9.811,1662.0,3.0,9.833,1665.0,12.0,9.912,1677.0,8.0,9.965,1685.0,0.0,9.965,1685.0,6.0,10.014,1691.0,16.0,10.123,1707.0,-11.0,10.058,1696.0,0.0,10.126,1696.0,0.0,10.174,1696.0,0.0,10.246,1696.0,0.0,10.246,1696.0,0.0,10.832,1696.0,
"Reeves, Kenneth E.",6.682,1133.0,145.0,7.537,1278.0,4.0,7.567,1282.0,3.0,7.586,1285.0,2.0,7.601,1287.0,9.0,7.66,1296.0,7.0,7.706,1303.0,1.0,7.712,1304.0,8.0,7.769,1312.0,18.0,7.888,1330.0,2.0,7.899,1332.0,23.0,8.09,1355.0,31.0,8.314,1386.0,92.0,8.929,1478.0,75.0,9.383,1553.0,311.0,11.904,1864.0,
"Maher, David P.",5.945,1008.0,401.0,8.31,1409.0,0.0,8.316,1409.0,1.0,8.323,1410.0,5.0,8.357,1415.0,7.0,8.405,1422.0,5.0,8.439,1427.0,0.0,8.439,1427.0,7.0,8.492,1434.0,21.0,8.629,1455.0,3.0,8.647,1458.0,72.0,9.135,1530.0,14.0,9.262,1544.0,77.0,9.793,1621.0,21.0,9.92,1642.0,280.0,12.275,1922.0,
"Condit, James E., III",0.366,62.0,6.0,0.401,68.0,0.0,0.401,68.0,6.0,0.437,74.0,-74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"King, Ethridge A.",2.182,370.0,37.0,2.4,407.0,0.0,2.402,407.0,2.0,2.414,409.0,1.0,2.421,410.0,2.0,2.435,412.0,6.0,2.472,418.0,0.0,2.472,418.0,47.0,2.754,465.0,10.0,2.817,475.0,0.0,2.817,475.0,29.0,3.009,504.0,77.0,3.485,581.0,-581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Davis, Henrietta",10.008,1697.0,-1.0,10.002,1696.0,0.0,10.01,1696.0,0.0,10.012,1696.0,0.0,10.017,1696.0,0.0,10.024,1696.0,0.0,10.03,1696.0,0.0,10.03,1696.0,0.0,10.043,1696.0,0.0,10.058,1696.0,0.0,10.058,1696.0,0.0,10.126,1696.0,0.0,10.174,1696.0,0.0,10.246,1696.0,0.0,10.246,1696.0,0.0,10.832,1696.0,
"Simmons, Denise",7.826,1327.0,86.0,8.333,1413.0,0.0,8.34,1413.0,6.0,8.377,1419.0,5.0,8.41,1424.0,5.0,8.446,1429.0,8.0,8.498,1437.0,0.0,8.498,1437.0,21.0,8.634,1458.0,67.0,9.044,1525.0,1.0,9.05,1526.0,17.0,9.212,1543.0,141.0,10.102,1684.0,139.0,11.014,1823.0,-127.0,10.246,1696.0,0.0,10.832,1696.0,
