candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer
"Rojas Villareal, Jose Luis",5.829,1131.0,50.0,6.087,1181.0,6.0,6.118,1187.0,2.0,6.14,1189.0,199.0,7.266,1388.0,61.0,7.752,1449.0,257.0,9.323,1706.0,270.0,11.069,1976.0,218.0,12.291,2194.0,653.0,17.041,2847.0,
"Fantini, Alfred B.",13.72,2662.0,175.0,14.621,2837.0,-65.0,14.286,2772.0,0.0,14.314,2772.0,0.0,14.512,2772.0,0.0,14.83,2772.0,0.0,15.148,2772.0,0.0,15.529,2772.0,0.0,15.529,2772.0,0.0,16.592,2772.0,
writeIns,0.263,51.0,0.0,0.263,51.0,0.0,0.263,51.0,-51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Allen, Ruth Ryan",4.597,892.0,19.0,4.695,911.0,17.0,4.783,928.0,2.0,4.802,930.0,38.0,5.068,968.0,-968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Bowman, Mannika L.",16.013,3107.0,-335.0,14.286,2772.0,0.0,14.286,2772.0,0.0,14.314,2772.0,0.0,14.512,2772.0,0.0,14.83,2772.0,0.0,15.148,2772.0,0.0,15.529,2772.0,0.0,15.529,2772.0,0.0,16.592,2772.0,
"Dexter, Emily R.",15.456,2999.0,-227.0,14.286,2772.0,0.0,14.286,2772.0,0.0,14.314,2772.0,0.0,14.512,2772.0,0.0,14.83,2772.0,0.0,15.148,2772.0,0.0,15.529,2772.0,0.0,15.529,2772.0,0.0,16.592,2772.0,
"Wilson, Ayesha",13.864,2690.0,88.0,14.317,2778.0,-6.0,14.286,2772.0,0.0,14.314,2772.0,0.0,14.512,2772.0,0.0,14.83,2772.0,0.0,15.148,2772.0,0.0,15.529,2772.0,0.0,15.529,2772.0,0.0,16.592,2772.0,
"Dawson, Bernette J.",5.03,976.0,49.0,5.283,1025.0,10.0,5.334,1035.0,1.0,5.35,1036.0,55.0,5.711,1091.0,136.0,6.564,1227.0,160.0,7.58,1387.0,207.0,8.929,1594.0,203.0,10.067,1797.0,-1797.0,0.0,0.0,
"Weinstain, Rachel",11.215,2176.0,61.0,11.529,2237.0,15.0,11.606,2252.0,3.0,11.645,2255.0,105.0,12.355,2360.0,172.0,13.546,2532.0,209.0,14.979,2741.0,452.0,17.887,3193.0,-421.0,15.529,2772.0,0.0,16.592,2772.0,
"Weinstein, David J.",5.004,971.0,48.0,5.252,1019.0,8.0,5.293,1027.0,1.0,5.309,1028.0,109.0,5.952,1137.0,88.0,6.554,1225.0,152.0,7.525,1377.0,-1377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Lim, Christopher",4.814,934.0,31.0,4.973,965.0,9.0,5.02,974.0,2.0,5.04,976.0,94.0,5.602,1070.0,101.0,6.265,1171.0,-1171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Kadete, Elechi M.",4.195,814.0,41.0,4.407,855.0,6.0,4.437,861.0,2.0,4.456,863.0,-863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,65.0,0.0,0.0,65.0,0.0,0.0,65.0,38.0,0.0,103.0,263.0,0.0,366.0,410.0,0.0,776.0,393.0,0.0,1169.0,448.0,0.0,1617.0,0.0,0.0,1617.0,1144.0,0.0,2761.0,
colsum,100.0,19468.0,0.0,99.999,19468.0,0.0,99.998,19468.0,0.0,99.998,19468.0,0.0,100.00200000000001,19468.0,0.0,100.00099999999999,19468.0,0.0,99.999,19468.0,0.0,100.00099999999999,19468.0,0.0,100.00299999999999,19468.0,0.0,100.00099999999999,19468.0,
