Ballots with first choice:,Number of Ballots,Amy Klobuchar ranked in top 3,Andrew Yang ranked in top 3,Bernie Sanders ranked in top 3,Deval Patrick ranked in top 3,Elizabeth Warren ranked in top 3,Joseph R. Biden ranked in top 3,Michael R. ranked in top 3,Pete Buttigieg ranked in top 3,Tom Steyer ranked in top 3,Tulsi Gabbard ranked in top 3,Uncommitted ranked in top 3
Amy Klobuchar,90.0,100.0,12.22,17.78,3.33,32.22,58.89,4.44,24.44,5.56,13.33,2.22
Andrew Yang,337.0,6.53,100.0,45.7,1.48,28.19,36.8,5.93,12.17,5.64,16.91,5.34
Bernie Sanders,10754.0,1.87,10.28,100.0,0.13,34.08,42.93,2.16,3.81,1.35,16.67,7.75
Deval Patrick,11.0,9.09,27.27,18.18,100.0,18.18,36.36,18.18,9.09,0.0,27.27,9.09
Elizabeth Warren,1660.0,11.63,8.07,66.2,0.24,100.0,71.69,4.1,9.22,1.51,2.53,3.31
Joseph R. Biden,19577.0,7.35,3.39,28.76,0.24,17.93,100.0,7.89,7.99,1.04,4.79,3.71
Michael R.,448.0,6.7,7.81,26.34,0.22,18.08,61.83,100.0,10.71,4.91,11.16,3.79
Pete Buttigieg,304.0,19.08,13.82,26.64,1.32,24.67,66.45,8.22,100.0,2.63,6.25,3.29
Tom Steyer,32.0,6.25,15.62,28.12,0.0,28.12,50.0,31.25,0.0,100.0,6.25,3.12
Tulsi Gabbard,1367.0,4.24,10.75,39.5,0.8,9.88,31.89,9.51,3.58,2.05,100.0,9.36
Uncommitted,289.0,0.0,1.73,9.0,0.0,2.42,12.8,2.77,0.35,1.04,2.42,100.0
