Ballots with first choice:,Number of Ballots,Amy Klobuchar ranked in top 3,Andrew Yang ranked in top 3,Bernie Sanders ranked in top 3,Deval Patrick ranked in top 3,Elizabeth Warren ranked in top 3,Joseph R. Biden ranked in top 3,Michael R. ranked in top 3,Pete Buttigieg ranked in top 3,Tom Steyer ranked in top 3,Tulsi Gabbard ranked in top 3,Uncommitted ranked in top 3
Amy Klobuchar,33,33,3,6,1,10,22,2,8,1,3,0
Andrew Yang,184,8,184,82,5,56,71,12,19,13,27,9
Bernie Sanders,4044,56,525,4044,6,1507,1754,111,141,42,484,375
Deval Patrick,4,0,1,1,4,1,1,0,0,0,2,0
Elizabeth Warren,730,66,66,493,2,730,514,32,60,13,9,22
Joseph R. Biden,8580,586,337,2280,8,1518,8580,842,634,86,300,333
Michael R.,256,11,19,63,0,57,169,256,26,12,18,6
Pete Buttigieg,150,25,18,40,1,39,104,15,150,4,9,6
Tom Steyer,13,0,3,2,0,4,6,6,0,13,1,0
Tulsi Gabbard,443,19,51,174,1,36,143,59,18,6,443,42
Uncommitted,105,0,4,9,0,2,16,5,0,1,3,105
