condorcet winner: Joseph R. Biden,Amy Klobuchar,Andrew Yang,Bernie Sanders,Deval Patrick,Elizabeth Warren,Joseph R. Biden,Michael R.,Pete Buttigieg,Tom Steyer,Tulsi Gabbard,Uncommitted
Amy Klobuchar,,45.47,8.76,95.84,14.62,1.97,44.55,42.85,81.46,31.94,50.20
Andrew Yang,54.53,,6.05,96.40,16.73,5.95,49.44,48.41,84.64,34.37,55.35
Bernie Sanders,91.24,93.95,,99.57,78.52,36.77,89.96,90.39,98.45,89.50,95.28
Deval Patrick,4.16,3.60,0.43,,0.82,0.18,3.62,3.20,16.55,1.94,4.43
Elizabeth Warren,85.38,83.27,21.48,99.18,,16.86,79.83,80.91,96.13,69.24,84.08
Joseph R. Biden,98.03,94.05,63.23,99.82,83.14,,97.06,96.77,99.07,89.67,96.11
Michael R.,55.45,50.56,10.04,96.38,20.17,2.94,,49.94,85.11,35.66,55.31
Pete Buttigieg,57.15,51.59,9.61,96.80,19.09,3.23,50.06,,84.87,37.24,55.79
Tom Steyer,18.54,15.36,1.55,83.45,3.87,0.93,14.89,15.13,,9.45,19.01
Tulsi Gabbard,68.06,65.63,10.50,98.06,30.76,10.33,64.34,62.76,90.55,,70.37
Uncommitted,49.80,44.65,4.72,95.57,15.92,3.89,44.69,44.21,80.99,29.63,
