,Rank 1,Rank 2,Rank 3,Did Not Rank
Amy Klobuchar,93.00,1017.00,2099.00,33049.00
Andrew Yang,340.00,1140.00,2496.00,32652.00
Bernie Sanders,10777.00,16603.00,18460.00,16688.00
Deval Patrick,11.00,37.00,100.00,35048.00
Elizabeth Warren,1689.00,6277.00,9309.00,25839.00
Joseph R. Biden,19593.00,24044.00,26561.00,8587.00
Michael R.,460.00,1681.00,2507.00,32641.00
Pete Buttigieg,311.00,1405.00,2606.00,32542.00
Tom Steyer,34.00,172.00,495.00,34653.00
Tulsi Gabbard,1377.00,2994.00,4303.00,30845.00
Uncommitted,291.00,842.00,2093.00,33055.00
