,Rank 1,Rank 2,Rank 3,Did Not Rank
Amy Klobuchar,34.00,382.00,807.00,13843.00
Andrew Yang,186.00,595.00,1218.00,13432.00
Bernie Sanders,4054.00,6422.00,7209.00,7441.00
Deval Patrick,4.00,12.00,28.00,14622.00
Elizabeth Warren,738.00,2692.00,3972.00,10678.00
Joseph R. Biden,8585.00,10372.00,11388.00,3262.00
Michael R.,262.00,956.00,1347.00,13303.00
Pete Buttigieg,153.00,584.00,1059.00,13591.00
Tom Steyer,15.00,67.00,194.00,14456.00
Tulsi Gabbard,446.00,874.00,1303.00,13347.00
Uncommitted,106.00,365.00,900.00,13750.00
