condorcet winner: KEN MIYAGISHIMA,ALEXANDER PAIGE FRESQUEZ,BEV COURTNEY,EUGENIA (GINA) MONTOYA ORTEGA,GREGORY Z SMITH,ISABELLA SOLIS,JESUSITA DOLORES LUCERO,JORGE SANCHEZ,KEN MIYAGISHIMA,MIKE A TELLEZ,WILLIAM BILL MATTIACE
ALEXANDER PAIGE FRESQUEZ,,32.87,28.69,26.69,24.91,33.24,40.14,21.28,23.13,18.19
BEV COURTNEY,67.13,,44.45,38.95,42.18,52.73,59.95,28.97,30.74,29.70
EUGENIA (GINA) MONTOYA ORTEGA,71.31,55.55,,45.86,46.43,51.25,71.01,32.11,45.62,30.66
GREGORY Z SMITH,73.31,61.05,54.14,,53.54,58.42,68.19,35.63,51.98,38.81
ISABELLA SOLIS,75.09,57.82,53.57,46.46,,54.10,72.39,31.41,45.37,30.84
JESUSITA DOLORES LUCERO,66.76,47.27,48.75,41.58,45.90,,65.08,30.19,36.30,32.05
JORGE SANCHEZ,59.86,40.05,28.99,31.81,27.61,34.92,,22.36,27.96,19.01
KEN MIYAGISHIMA,78.72,71.03,67.89,64.37,68.59,69.81,77.64,,66.15,55.08
MIKE A TELLEZ,76.87,69.26,54.38,48.02,54.63,63.70,72.04,33.85,,38.16
WILLIAM BILL MATTIACE,81.81,70.30,69.34,61.19,69.16,67.95,80.99,44.92,61.84,
