Ballots with first choice:,Number of Ballots,ALEXANDER PAIGE FRESQUEZ ranked in top 3,BEV COURTNEY ranked in top 3,EUGENIA (GINA) MONTOYA ORTEGA ranked in top 3,GREGORY Z SMITH ranked in top 3,ISABELLA SOLIS ranked in top 3,JESUSITA DOLORES LUCERO ranked in top 3,JORGE SANCHEZ ranked in top 3,KEN MIYAGISHIMA ranked in top 3,MIKE A TELLEZ ranked in top 3,WILLIAM BILL MATTIACE ranked in top 3
ALEXANDER PAIGE FRESQUEZ,106,106,6,20,41,12,20,19,43,15,17
BEV COURTNEY,492,16,492,51,49,74,170,23,43,289,131
EUGENIA (GINA) MONTOYA ORTEGA,1147,59,135,1147,148,298,221,127,289,184,305
GREGORY Z SMITH,1433,124,74,210,1433,175,156,89,729,139,503
ISABELLA SOLIS,664,19,133,153,77,664,120,68,140,205,197
JESUSITA DOLORES LUCERO,426,26,70,99,68,111,426,31,103,93,111
JORGE SANCHEZ,210,29,16,32,57,57,16,210,50,49,29
KEN MIYAGISHIMA,5172,303,211,803,1644,797,466,309,5172,537,1482
MIKE A TELLEZ,1610,57,947,130,123,246,708,67,133,1610,419
WILLIAM BILL MATTIACE,2725,65,372,455,594,443,359,121,781,630,2725
