,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Did Not Rank
ALEXANDER PAIGE FRESQUEZ,106.00,341.00,801.00,1196.00,1659.00,2231.00,2995.00,4124.00,4650.00,4988.00,9168.00
BEV COURTNEY,492.00,1720.00,2454.00,2984.00,3495.00,4035.00,4583.00,5041.00,5430.00,5805.00,8351.00
EUGENIA (GINA) MONTOYA ORTEGA,1147.00,2187.00,3100.00,3740.00,4223.00,5064.00,5406.00,5755.00,6183.00,6563.00,7593.00
GREGORY Z SMITH,1433.00,3277.00,4233.00,4849.00,5324.00,5718.00,6099.00,6521.00,7390.00,7650.00,6506.00
ISABELLA SOLIS,664.00,1709.00,2876.00,3760.00,4909.00,5396.00,5747.00,6065.00,6289.00,6476.00,7680.00
JESUSITA DOLORES LUCERO,426.00,1168.00,2660.00,3486.00,4054.00,4501.00,4896.00,5360.00,5817.00,6107.00,8049.00
JORGE SANCHEZ,210.00,565.00,1063.00,1577.00,2182.00,2769.00,3733.00,4265.00,4705.00,5106.00,9050.00
KEN MIYAGISHIMA,5172.00,6717.00,7485.00,7855.00,8124.00,8287.00,8431.00,8587.00,8946.00,10236.00,3920.00
MIKE A TELLEZ,1610.00,2784.00,3755.00,4445.00,4978.00,5480.00,5897.00,6201.00,6455.00,6637.00,7519.00
WILLIAM BILL MATTIACE,2725.00,4713.00,5918.00,6968.00,7381.00,7625.00,7846.00,8110.00,8446.00,8690.00,5466.00
