Ballots with first choice:,Number of Ballots,% of votes to WILLIAM BILL MATTIACE,% of votes to KEN MIYAGISHIMA,% of votes to exhaust,percent_sum
ALEXANDER PAIGE FRESQUEZ,106.0,28.3,50.0,21.7,100.0
BEV COURTNEY,492.0,57.32,13.41,29.27,99.99999999999999
EUGENIA (GINA) MONTOYA ORTEGA,1147.0,35.92,29.99,34.09,100.0
GREGORY Z SMITH,1433.0,31.61,47.17,21.21,99.99999999999999
ISABELLA SOLIS,664.0,48.19,25.6,26.2,99.99999999999999
JESUSITA DOLORES LUCERO,426.0,44.13,25.59,30.28,100.0
JORGE SANCHEZ,210.0,36.19,32.86,30.95,99.99999999999999
KEN MIYAGISHIMA,5172.0,0.0,100.0,0.0,100.0
MIKE A TELLEZ,1610.0,66.52,9.63,23.85,100.0
WILLIAM BILL MATTIACE,2725.0,100.0,0.0,0.0,100.0
