,ALEXANDER PAIGE FRESQUEZ,BEV COURTNEY,EUGENIA (GINA) MONTOYA ORTEGA,GREGORY Z SMITH,ISABELLA SOLIS,JESUSITA DOLORES LUCERO,JORGE SANCHEZ,KEN MIYAGISHIMA,MIKE A TELLEZ,WILLIAM BILL MATTIACE
first_choice,106.00,492.00,1147.00,1433.00,664.00,426.00,210.00,5172.00,1610.00,2725.00
ALEXANDER PAIGE FRESQUEZ,,6.00,24.00,50.00,9.00,9.00,10.00,93.00,11.00,23.00
BEV COURTNEY,3.00,,62.00,33.00,58.00,37.00,7.00,87.00,788.00,153.00
EUGENIA (GINA) MONTOYA ORTEGA,11.00,26.00,,96.00,86.00,56.00,18.00,446.00,54.00,247.00
GREGORY Z SMITH,26.00,27.00,80.00,,46.00,36.00,28.00,1187.00,59.00,355.00
ISABELLA SOLIS,4.00,26.00,153.00,78.00,,57.00,32.00,387.00,106.00,202.00
JESUSITA DOLORES LUCERO,10.00,34.00,112.00,65.00,55.00,,6.00,187.00,99.00,174.00
JORGE SANCHEZ,10.00,12.00,63.00,34.00,27.00,10.00,,126.00,27.00,46.00
KEN MIYAGISHIMA,24.00,27.00,183.00,514.00,74.00,46.00,32.00,,74.00,571.00
MIKE A TELLEZ,6.00,226.00,87.00,82.00,126.00,46.00,29.00,224.00,,348.00
WILLIAM BILL MATTIACE,7.00,65.00,183.00,298.00,110.00,77.00,15.00,989.00,244.00,
exhaust,5.00,43.00,200.00,183.00,73.00,52.00,33.00,1446.00,148.00,606.00
