ballotID,Precinct,Ballot Style,rank1,rank2,rank3
700016,Yarmouth,Unscanned,"Fromuth, Peter J.","Abbott, Heather","Bell, Arthur L."
700017,Chebeague Island,Unscanned,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L."
700018,Chebeague Island,Unscanned,"Fromuth, Peter J.","Bell, Arthur L.","Abbott, Heather"
700001,500111,UOCAVA,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J."
700002,500111,UOCAVA,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L."
700003,500111,UOCAVA,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather"
700004,500111,UOCAVA,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L."
700005,500111,UOCAVA,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J."
700006,90111,UOCAVA,"Fromuth, Peter J.","Abbott, Heather","Bell, Arthur L."
700007,500111,UOCAVA,"Abbott, Heather",skipped,skipped
700008,500111,UOCAVA,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J."
700009,500111,UOCAVA,"Fromuth, Peter J.",skipped,skipped
700010,500111,UOCAVA,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L."
700011,500111,UOCAVA,"Fromuth, Peter J.","Bell, Arthur L.","Abbott, Heather"
700012,500111,UOCAVA,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L."
700013,500111,UOCAVA,"Fromuth, Peter J.","Bell, Arthur L.","Abbott, Heather"
700014,599111,UOCAVA,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L."
700015,500111,UOCAVA,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J."
171132,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J."
171142,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather"
171144,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather"
171146,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather"
171147,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J."
171157,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J."
171166,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.",skipped,skipped
171167,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather"
171168,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J."
171175,Yarmouth,DEM Ballot Style 90,skipped,skipped,skipped
171176,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J."
171177,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J."
171180,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather"
171184,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Bell, Arthur L.","Abbott, Heather"
171188,Yarmouth,DEM Ballot Style 90,skipped,skipped,skipped
171189,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.",skipped,skipped
171190,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Bell, Arthur L.","Abbott, Heather"
171196,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather"
171199,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J."
171211,Yarmouth,DEM Ballot Style 90,skipped,skipped,skipped
171212,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J."
171213,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather"
171223,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.",skipped,skipped
171231,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J."
171236,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J."
171237,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J."
171239,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J."
171240,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J."
171242,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Bell, Arthur L.","Abbott, Heather"
171249,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J."
171250,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather"
171251,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J."
171254,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.",skipped,skipped
171260,Yarmouth,DEM Ballot Style 90,skipped,skipped,skipped
171263,Yarmouth,DEM Ballot Style 90,skipped,skipped,skipped
171265,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J."
171272,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Abbott, Heather","Bell, Arthur L."
171273,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.",skipped
171276,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather"
171277,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.",skipped,skipped
171285,Yarmouth,DEM Ballot Style 90,skipped,skipped,skipped
171289,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Abbott, Heather","Bell, Arthur L."
171290,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L."
171292,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J."
171300,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J."
171304,Yarmouth,DEM Ballot Style 90,"Abbott, Heather",skipped,skipped
171305,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J."
171306,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J."
171308,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J."
171309,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.",skipped,skipped
171314,Yarmouth,DEM Ballot Style 90,skipped,skipped,skipped
171319,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather"
171325,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J."
171327,Yarmouth,DEM Ballot Style 90,skipped,skipped,skipped
171330,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Bell, Arthur L.",skipped
171333,Yarmouth,DEM Ballot Style 90,skipped,skipped,skipped
171334,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L."
171336,Yarmouth,DEM Ballot Style 90,"Abbott, Heather",overvote,skipped
171339,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather"
171341,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L."
171360,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J."
