ballotID,Precinct,Ballot Style,rank1,rank2,rank3
22183,Lincolnville,DEM Ballot Style 41,skipped,skipped,skipped
22186,Lincolnville,DEM Ballot Style 41,"Curry, Glenn Chip",skipped,skipped
22190,Lincolnville,DEM Ballot Style 41,"Pattavina, Charles F.","Curry, Glenn Chip","Stanicki, Robyn M."
22191,Lincolnville,DEM Ballot Style 41,"Curry, Glenn Chip","Stanicki, Robyn M.","Pattavina, Charles F."
22192,Lincolnville,DEM Ballot Style 41,"Curry, Glenn Chip","Curry, Glenn Chip","Curry, Glenn Chip"
22197,Lincolnville,DEM Ballot Style 41,"Pattavina, Charles F.",skipped,skipped
22198,Lincolnville,DEM Ballot Style 41,"Pattavina, Charles F.","Stanicki, Robyn M.",skipped
22199,Lincolnville,DEM Ballot Style 41,"Curry, Glenn Chip","Pattavina, Charles F.","Stanicki, Robyn M."
22204,Lincolnville,DEM Ballot Style 41,"Curry, Glenn Chip","Pattavina, Charles F.","Stanicki, Robyn M."
22209,Lincolnville,DEM Ballot Style 41,skipped,skipped,skipped
22212,Lincolnville,DEM Ballot Style 41,skipped,skipped,skipped
22214,Lincolnville,DEM Ballot Style 41,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F."
22215,Lincolnville,DEM Ballot Style 41,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F."
22217,Lincolnville,DEM Ballot Style 41,"Curry, Glenn Chip","Pattavina, Charles F.","Stanicki, Robyn M."
22219,Lincolnville,DEM Ballot Style 41,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F."
22223,Lincolnville,DEM Ballot Style 41,"Stanicki, Robyn M.",skipped,skipped
22226,Lincolnville,DEM Ballot Style 41,"Pattavina, Charles F.","Stanicki, Robyn M.",skipped
22227,Lincolnville,DEM Ballot Style 41,"Pattavina, Charles F.","Stanicki, Robyn M.","Curry, Glenn Chip"
22231,Lincolnville,DEM Ballot Style 41,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F."
22236,Lincolnville,DEM Ballot Style 41,skipped,skipped,skipped
