,Rank 1,Rank 2,Rank 3,Did Not Rank
AJ Awed,21.40,27.11,30.84,69.16
AK Hassan,13.25,19.75,24.15,75.85
Abdirizak Bihi,12.45,16.36,19.14,80.86
Alex Palacios,4.77,10.53,14.89,85.11
Jamal Osman,26.49,32.65,37.35,62.65
Joshua Scheunemann,1.50,3.42,5.49,94.51
Michael P. Dougherty,4.86,6.82,8.60,91.40
Mohamoud Hassan,1.68,3.41,5.06,94.94
Nebiha Mohammed,3.24,7.03,10.91,89.09
Saciido Shaie,4.14,8.65,12.88,87.12
Sara Mae Engberg,1.48,3.83,6.20,93.80
Suud Olat,0.77,2.32,4.31,95.69
writeIns,0.24,0.45,0.60,99.40
