Ballots with first choice:,Number of Ballots,% of votes to Bernie Sanders,% of votes to Joseph R. Biden,% of votes to exhaust,percent_sum
Amy Klobuchar,34.0,17.65,61.76,20.59,100.0
Andrew Yang,186.0,39.25,27.96,32.8,99.99999999999999
Bernie Sanders,4054.0,100.0,0.0,0.0,100.0
Deval Patrick,4.0,25.0,25.0,50.0,100.0
Elizabeth Warren,738.0,50.0,38.62,11.38,100.0
Joseph R. Biden,8585.0,0.0,100.0,0.0,100.0
Michael R.,262.0,13.74,59.16,27.1,99.99999999999999
Pete Buttigieg,153.0,17.65,62.09,20.26,99.99999999999999
Tom Steyer,15.0,13.33,33.33,53.33,100.0
Tulsi Gabbard,446.0,31.84,23.09,45.07,99.99999999999999
Uncommitted,106.0,5.66,12.26,82.08,100.0
