,(undeclared),Amy Klobuchar,Bernie Sanders,Elizabeth Warren,Joseph R. Biden,Michael R. Bloomberg,Pete Buttigieg,Tom Steyer,Tulsi Gabbard
first_choice,148.00,140.00,3680.00,689.00,10105.00,154.00,294.00,47.00,134.00
(undeclared),,3.00,64.00,5.00,72.00,1.00,2.00,1.00,4.00
Amy Klobuchar,4.00,,62.00,98.00,794.00,4.00,52.00,4.00,12.00
Bernie Sanders,13.00,4.00,,263.00,3702.00,21.00,29.00,5.00,30.00
Elizabeth Warren,2.00,39.00,778.00,,833.00,17.00,61.00,4.00,5.00
Joseph R. Biden,11.00,43.00,1779.00,220.00,,66.00,113.00,13.00,31.00
Michael R. Bloomberg,1.00,5.00,38.00,11.00,507.00,,12.00,8.00,3.00
Pete Buttigieg,4.00,27.00,103.00,65.00,711.00,19.00,,5.00,15.00
Tom Steyer,4.00,8.00,27.00,10.00,97.00,12.00,9.00,,2.00
Tulsi Gabbard,3.00,5.00,193.00,10.00,117.00,2.00,8.00,2.00,
exhaust,106.00,6.00,636.00,7.00,3272.00,12.00,8.00,5.00,32.00
