Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,19759,2.9950908446783746,3
Amy Klobuchar,133,4.368421052631579,5
Bernie Sanders,7764,2.873647604327666,2.0
Elizabeth Warren,1402,3.92867332382311,4.0
Joseph R. Biden,9862,2.890894341918475,2.0
Michael R. Bloomberg,97,3.8350515463917527,4
Pete Buttigieg,248,4.108870967741935,5.0
Tom Steyer,65,4.3076923076923075,5
Tulsi Gabbard,124,3.5,3.0
Undeclared,64,2.578125,1.0
