Ballots with first choice:,Number of Ballots,% of votes to Londel French,% of votes to Latrisha Vetaw,% of votes to Meg Forney,% of votes to exhaust,percent_sum
Bob Sullentrop,1659.0,5.77,8.13,13.78,72.32,100.0
Charlie Casserly,3756.0,7.52,6.54,20.38,65.56,100.0
Devin Hogan,6246.0,32.29,23.4,11.27,33.04,99.99999999999999
Jonathan Honerbrink,2617.0,7.28,10.55,15.79,66.38,99.99999999999999
Latrisha Vetaw,18526.0,3.02,92.38,0.0,4.61,99.99999999999999
Londel French,12405.0,100.0,0.0,0.0,0.0,100.0
Meg Forney,19010.0,0.98,0.0,93.7,5.32,100.0
Mike Derus,10679.0,10.64,0.0,0.0,89.36,100.0
Russ Henry,9056.0,35.97,20.38,12.63,31.01,100.0
Scott Vreeland,3.0,0.0,0.0,93.7,6.3,100.0
writeIns,390.0,1.08,2.37,4.56,91.99,99.99999999999999
