record #,timestamp,county code,zip,Registered,Primary,Ballot,Biden defeats Trump,Bloomberg defeats Trump,Buttigieg defeats Trump,Gabbard defeats Trump,Klobuchar defeats Trump,Sanders defeats Trump,Steyer defeats Trump,Warren defeats Trump,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,Ranked choice voting,LDPV,Gender,Age ,<50 / 50+,Race ,Party Affiliation,Ideology,2016 vote,Education,Income,Martial status,Child < 18,Religion,Evangelical,Union HH,Military HH,LGBTQ HH,Urbanicity,Region,weight
692100XXXX,2/25/2020 22:17,1007,35042,1,6,1,0,0,0,0,0,10,0,0,,,,,,,,,2,2,51,2,3,1,1,1,2,1,1,1,1,1,2,2,2,2,3,0.750664219
217110XXXX,2/26/2020 12:41,1015,36207,1,6,3,50,70,40,5,25,50,10,20,,,,,,,,,2,2,64,2,3,3,3,2,3,3,2,2,1,2,2,2,2,3,3,0.750664219
621100XXXX,2/25/2020 22:18,1017,36854,1,3,,0,0,0,0,0,0,0,0,,,,,,,,,2,2,41,1,3,1,3,1,2,2,3,1,3,1,2,2,2,2,3,0.647561373
760100XXXX,2/25/2020 22:18,1021,35045,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,2,61,2,3,1,1,1,2,1,2,2,1,1,2,2,2,3,3,0.750664219
209610XXXX,2/26/2020 12:40,1021,35045,1,6,2,20,40,10,15,10,30,10,15,1,2,7,8,3,5,4,2,1,2,51,2,2,2,4,2,2,2,1,1,3,2,2,2,2,3,3,1.35562057
176510XXXX,2/26/2020 11:33,1043,35083,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,2,55,2,4,1,2,1,3,1,2,2,2,2,2,2,2,3,3,1.1188231
450100XXXX,2/25/2020 22:16,1045,36360,1,4,,0,0,0,5,10,5,0,0,,,,,,,,,2,2,43,1,3,1,3,1,2,2,1,1,1,2,2,2,2,3,3,0.647561373
204810XXXX,2/26/2020 11:32,1045,36322,1,2,,100,100,100,100,100,100,100,100,,,,,,,,,2,2,44,1,3,4,4,4,2,1,3,1,4,2,2,2,1,3,3,0.647561373
688100XXXX,2/25/2020 22:17,1045,36360,1,5,2,80,70,50,30,20,60,20,60,1,8,2,6,7,3,4,2,1,1,54,2,2,2,3,2,2,1,2,2,3,1,1,1,2,2,3,1.301256306
895100XXXX,2/25/2020 22:20,1049,35971,2,,,,,,,,,,,,,,,,,,,2,2,37,1,3,4,6,5,1,1,2,1,4,3,2,2,2,3,3,0.647561373
214310XXXX,2/26/2020 12:41,1049,35984,2,,,,,,,,,,,,,,,,,,,2,2,28,1,3,1,1,4,2,1,1,2,1,2,2,2,2,3,3,0.630920158
751000XXXX,2/25/2020 22:08,1051,36022,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,2,58,2,3,1,1,1,2,1,3,2,1,1,2,1,2,3,3,0.750664219
401000XXXX,2/25/2020 22:06,1057,35555,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,1,60,2,3,1,1,1,2,1,3,2,1,1,2,2,2,3,3,0.807961723
141110XXXX,2/26/2020 11:30,1061,36477,1,6,1,25,25,0,0,0,15,0,0,,,,,,,,,2,2,28,1,3,1,2,1,3,2,2,1,1,2,2,2,2,3,3,0.630920158
180100XXXX,2/25/2020 22:13,1073,35205,1,6,2,59,25,0,0,0,50,0,50,6,8,2,1,3,7,5,3,1,2,29,1,3,2,4,2,3,2,1,2,4,2,2,2,2,3,3,0.630920158
