Ballots with first choice:,Number of Ballots,"Fantini, Alfred B. ranked in top 3","Grassi, Joseph G. ranked in top 3","Harding, Richard, Jr. ranked in top 3","Lemily Wiggins, Gail ranked in top 3","Malner, Stefan ranked in top 3","McGovern, Marc C. ranked in top 3","Nolan, Patricia M. ranked in top 3","Schuster, Luc ranked in top 3","Tauber, Nancy ranked in top 3",writeIns ranked in top 3
"Fantini, Alfred B.",2013,2013,1210,475,166,49,384,315,157,134,3
"Grassi, Joseph G.",1625,927,1625,425,134,41,233,257,124,124,2
"Harding, Richard, Jr.",1561,410,437,1561,127,58,348,364,238,176,2
"Lemily Wiggins, Gail",1024,133,103,102,1024,167,226,234,255,433,4
"Malner, Stefan",133,8,13,15,36,133,45,25,22,42,1
"McGovern, Marc C.",2275,294,244,548,308,81,2275,987,721,467,5
"Nolan, Patricia M.",1672,250,213,362,239,41,746,1672,507,372,3
"Schuster, Luc",1675,223,174,289,285,42,617,611,1675,415,5
"Tauber, Nancy",1245,108,112,142,435,179,381,308,312,1245,0
writeIns,36,5,1,2,0,0,4,2,1,4,36
