Ballots with first choice:,Number of Ballots,"Adkins, Lawrence J. ranked in top 3","Condit, James E., III ranked in top 3","Davis, Henrietta ranked in top 3","Decker, Marjorie C. ranked in top 3","Galluccio, Anthony D. ranked in top 3","Gordon, Jesse A. ranked in top 3","Green, Andre Lerone ranked in top 3","Hall, Robert Lee, Sr. ranked in top 3","Hees, Bill ranked in top 3","Kelley, Craig A. ranked in top 3","LaTremouille, Robert J. ranked in top 3","Maher, David P. ranked in top 3","Murphy, Brian ranked in top 3","Reeves, Kenneth E. ranked in top 3","Seidel, Sam ranked in top 3","Simmons, Denise ranked in top 3","Sullivan, Michael A. ranked in top 3","Toomey, Timothy J., Jr. ranked in top 3",writeIns ranked in top 3
"Adkins, Lawrence J.",242,242,15,31,43,27,25,8,4,5,29,7,12,15,74,25,78,21,16,0
"Condit, James E., III",41,3,41,6,7,5,5,7,3,8,2,3,3,1,0,5,4,4,2,0
"Davis, Henrietta",1457,20,8,1457,629,179,130,26,10,15,141,29,118,394,169,220,396,138,56,1
"Decker, Marjorie C.",1524,35,9,556,1524,271,133,27,7,19,104,19,103,289,291,170,488,178,99,4
"Galluccio, Anthony D.",1997,33,15,190,268,1997,58,35,43,30,121,30,527,164,296,66,210,912,486,5
"Gordon, Jesse A.",625,30,9,136,141,57,625,38,23,19,78,16,24,124,90,176,117,33,22,2
"Green, Andre Lerone",181,5,11,9,8,26,22,181,23,55,16,5,14,10,14,15,18,21,14,2
"Hall, Robert Lee, Sr.",74,4,2,6,3,16,10,8,74,11,13,1,5,3,15,8,12,6,1,0
"Hees, Bill",197,9,35,12,8,38,13,59,14,197,33,20,27,8,4,19,8,24,14,0
"Kelley, Craig A.",1041,65,8,244,211,146,152,36,24,35,1041,33,92,172,85,270,134,101,50,7
"LaTremouille, Robert J.",118,6,3,23,17,8,8,9,2,11,17,118,9,12,16,19,14,17,5,1
"Maher, David P.",900,6,3,103,95,363,27,9,4,16,46,6,900,147,76,48,74,394,190,0
"Murphy, Brian",1236,14,9,481,347,145,110,7,7,16,113,21,149,1236,139,274,231,140,43,1
"Reeves, Kenneth E.",1205,91,7,192,245,234,34,24,27,13,30,10,63,86,1205,59,571,259,104,2
"Seidel, Sam",973,50,24,303,224,100,151,16,8,15,343,23,79,216,54,973,159,61,16,1
"Simmons, Denise",1327,88,14,353,473,166,69,25,21,13,74,17,62,179,428,108,1327,193,102,1
"Sullivan, Michael A.",1462,42,13,141,220,584,32,14,15,20,71,20,379,116,177,31,165,1462,508,4
"Toomey, Timothy J., Jr.",1431,13,15,80,133,583,19,22,14,16,37,9,250,46,120,31,112,705,1431,2
writeIns,15,0,0,0,2,0,2,1,1,0,0,0,0,2,1,2,1,0,0,15
