Ballots with first choice:,Number of Ballots,"% of votes to Bowman, Manikka L.","% of votes to Fantini, Alfred B.","% of votes to Harding, Jr., Richard","% of votes to Nolan, Patricia M.","% of votes to Kelly, Kathleen M.","% of votes to Dexter, Emily R.",% of votes to exhaust,percent_sum
"Bowman, Manikka L.",1488.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Cisternino, Pia",657.0,22.83,0.0,8.37,0.0,12.79,27.55,28.46,100.0
"Cronin, Fran Albin",1418.0,21.23,0.0,0.0,0.0,0.0,20.38,58.39,100.0
"Crutchfield, Jake W.",1221.0,18.51,0.0,0.0,0.0,15.56,16.46,49.47,99.99999999999999
"Dexter, Emily R.",1402.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
"Fantini, Alfred B.",2721.0,1.21,86.59,5.84,0.0,2.76,1.21,2.39,100.0
"Harding, Jr., Richard",1989.0,0.45,0.0,98.44,0.0,0.65,0.2,0.25,99.99999999999999
"Kadete, Elechi M.",427.0,22.95,0.0,19.44,0.0,13.58,16.86,27.17,100.0
"Kelly, Kathleen M.",1710.0,0.35,0.0,0.0,0.0,99.18,0.18,0.29,99.99999999999999
"Nolan, Patricia M.",3006.0,3.49,1.46,2.1,79.84,6.02,4.36,2.73,99.99999999999997
"Weinstein, David J.",696.0,24.28,0.0,11.21,0.0,13.94,16.24,34.34,100.0
writeIns,62.0,8.06,0.0,6.45,0.0,9.68,6.45,69.35,100.0
