Ballots with first choice:,Number of Ballots,"% of votes to Decker, Marjorie C.","% of votes to Simmons, Denise","% of votes to Galluccio, Anthony D.","% of votes to Sullivan, Michael A.","% of votes to Davis, Henrietta","% of votes to Maher, David P.","% of votes to Murphy, Brian","% of votes to Toomey, Timothy J., Jr.","% of votes to Reeves, Kenneth E.",% of votes to exhaust,percent_sum
"Bellew, Carole K.",735.0,14.56,16.46,0.0,5.99,0.0,12.38,16.46,6.53,5.99,21.63,99.99999999999999
"Davis, Henrietta",1846.0,0.16,0.05,0.0,0.0,99.4,0.05,0.22,0.0,0.11,0.0,99.99999999999999
"DeBergalis, Matt S.",1206.0,0.0,15.51,0.0,0.0,0.0,13.02,0.0,0.0,13.93,57.55,100.0
"Decker, Marjorie C.",1378.0,96.15,1.16,0.0,0.0,0.0,0.51,0.8,0.73,0.65,0.0,99.99999999999997
"Dixon, Vincent Lawrence",64.0,6.25,18.75,0.0,7.81,4.69,12.5,6.25,6.25,6.25,31.25,100.0
"Galluccio, Anthony D.",2994.0,1.67,1.8,67.1,8.15,1.7,8.85,1.44,5.21,3.24,0.84,100.0
"Greenwood, Dan J.",39.0,2.56,5.13,0.0,2.56,7.69,12.82,10.26,5.13,15.38,38.46,100.0
"Hall, Robert L., Sr.",96.0,6.25,15.62,0.0,6.25,6.25,12.5,6.25,5.21,7.29,34.38,100.0
"Kelley, Craig A.",992.0,16.63,11.09,0.0,0.0,0.0,14.42,16.23,6.65,7.86,27.12,99.99999999999999
"King, Ethridge A., Jr.",361.0,5.54,9.97,0.0,8.86,7.2,17.17,7.48,4.43,10.25,29.09,99.99999999999999
"LaTremouille, Robert J.",126.0,10.32,12.7,0.0,3.17,11.11,3.17,8.73,4.76,11.9,34.13,99.99999999999997
"Maher, David P.",1190.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
"Murphy, Brian",1362.0,0.0,0.73,0.0,0.0,0.0,0.88,97.36,0.15,0.73,0.15,99.99999999999999
"Pitkin, John",1010.0,23.86,13.17,0.0,0.0,0.0,10.0,22.57,5.15,6.04,19.21,99.99999999999999
"Reeves, Kenneth E.",1525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
"Simmons, Denise",1181.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Smith, Aimee Louise",480.0,10.62,28.96,0.0,4.17,8.33,3.12,8.75,3.54,9.38,23.12,100.0
"Sullivan, Michael A.",1656.0,0.0,0.06,0.0,99.21,0.0,0.06,0.0,0.54,0.06,0.06,100.00000000000001
"Taymorberry, Laurie",188.0,11.17,16.49,0.0,4.26,14.89,3.19,10.11,6.38,7.45,26.06,99.99999999999999
"Toomey, Timothy J., Jr.",1613.0,0.0,0.06,0.0,0.0,0.0,0.5,0.0,99.38,0.06,0.0,99.99999999999999
writeIns,38.0,5.26,2.63,0.0,5.26,7.89,2.63,5.26,2.63,10.53,57.89,99.99999999999999
