Ballots with first choice:,Number of Ballots,"% of votes to Mazen, Nadeem A.","% of votes to Kelley, Craig A.","% of votes to Benzan, Dennis A.","% of votes to McGovern, Marc C.","% of votes to Maher, David P.","% of votes to Toomey, Jr., Timothy J.","% of votes to Carlone, Dennis J.","% of votes to Cheung, Leland","% of votes to Simmons, E. Denise",% of votes to exhaust,percent_sum
"Benzan, Dennis A.",1301.0,0.38,0.54,97.16,1.23,0.0,0.0,0.46,0.0,0.0,0.23,100.0
"Carlone, Dennis J.",1151.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
"Cheung, Leland",2391.0,2.76,4.52,1.38,4.27,3.43,1.42,1.76,74.24,3.43,2.8,100.0
"House, Janneke Ann",410.0,22.44,12.93,6.34,9.27,6.1,2.68,18.54,0.0,7.32,14.39,99.99999999999999
"Kelley, Craig A.",1093.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Lee, James",91.0,18.68,3.3,6.59,12.09,5.49,4.4,5.49,0.0,15.38,28.57,99.99999999999999
"Leslie, Logan Edward",504.0,6.35,9.13,4.96,6.94,12.9,8.93,5.75,0.0,2.78,42.26,100.0
"Maher, David P.",1464.0,0.07,0.48,0.07,0.55,96.86,1.09,0.41,0.0,0.27,0.2,99.99999999999997
"Mazen, Nadeem A.",985.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"McGovern, Marc C.",1187.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Mello, Gary W.",107.0,11.21,22.43,5.61,7.48,5.61,3.74,24.3,0.0,0.0,19.63,100.0
"Mirza, Mushtaque A.",284.0,35.21,2.82,0.7,6.34,3.17,3.52,5.99,0.0,4.93,37.32,99.99999999999999
"Moree, Gregg J.",38.0,7.89,5.26,7.89,5.26,7.89,18.42,2.63,0.0,10.53,34.21,99.99999999999999
"Peden, Ronald",49.0,12.24,12.24,14.29,10.2,0.0,4.08,2.04,0.0,16.33,28.57,99.99999999999999
"Phillips, Lesley Rebecca",82.0,17.07,9.76,7.32,4.88,2.44,7.32,2.44,0.0,20.73,28.05,99.99999999999999
"Reeves, Kenneth E.",934.0,3.43,6.32,15.52,6.32,0.0,9.53,2.89,0.0,37.04,18.95,99.99999999999999
"Seidel, Sam",701.0,9.27,17.4,5.85,16.12,10.27,3.71,13.98,0.0,8.56,14.84,100.0
"Simmons, E. Denise",1184.0,1.35,1.01,3.21,2.62,0.0,2.79,0.25,0.0,87.5,1.27,100.0
"Smith, Jefferson R.",579.0,17.62,8.29,7.6,13.64,6.91,7.43,10.88,0.0,10.36,17.27,99.99999999999999
"Toomey, Jr., Timothy J.",1457.0,0.34,1.3,1.17,1.17,0.0,95.47,0.14,0.0,0.0,0.41,100.0
"Vasquez, Luis",264.0,12.12,5.68,18.56,12.12,6.44,9.47,4.92,0.0,10.98,19.7,99.99999999999997
"Von Hoffmann, Kristen Lane",420.0,11.9,16.9,9.29,12.86,5.95,5.71,10.48,0.0,9.29,17.62,99.99999999999997
"Williamson, James M.",74.0,13.51,5.41,6.76,2.7,1.35,5.41,31.08,0.0,13.51,20.27,100.00000000000001
"Yarden, Elie",102.0,27.45,7.84,16.67,9.8,4.9,0.98,12.75,0.0,7.84,11.76,100.0
"vanBeuzekom, Minka Y.",875.0,14.86,22.17,0.0,16.46,0.0,0.0,21.94,0.0,0.0,24.57,99.99999999999999
writeIns,16.0,0.0,6.25,6.25,0.0,0.0,0.0,6.25,0.0,0.0,81.25,100.0
