Ballots with first choice:,Number of Ballots,"% of votes to Fantini, Alfred B.","% of votes to Harding, Jr., Richard","% of votes to Osborne, Mervan F.","% of votes to Nolan, Patricia M.","% of votes to Cronin, Fran Albin","% of votes to Kelly, Kathleen M.",% of votes to exhaust,percent_sum
"Cronin, Fran Albin",1832.0,0.0,0.0,2.67,0.0,96.45,0.0,0.87,99.99999999999999
"Fantini, Alfred B.",2859.0,78.24,8.15,4.9,0.0,2.31,2.38,4.02,100.0
"Gerber, Joyce C.",1126.0,0.0,0.0,36.5,0.0,0.0,0.0,63.5,100.0
"Harding, Jr., Richard",2359.0,0.0,82.58,8.99,0.0,1.78,3.52,3.14,99.99999999999999
"Holland, John J.",589.0,0.0,0.0,19.19,0.0,18.34,0.0,62.48,100.0
"Kadete, Elechi M.",494.0,0.0,0.0,33.2,0.0,18.83,0.0,47.98,100.0
"Kelly, Kathleen M.",2102.0,0.0,0.0,2.57,0.0,2.38,93.82,1.24,100.0
"Nolan, Patricia M.",3921.0,3.42,4.85,13.06,60.47,6.07,6.32,5.81,100.0
"Osborne, Mervan F.",1238.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
writeIns,72.0,0.0,0.0,5.56,0.0,9.72,0.0,84.72,99.99999999999999
