,"Benzan, Dennis A.","Carlone, Dennis J.","Cheung, Leland","Connolly, Mike","Courtney, Kim","Davidson, Mariko","Degoes, Jr., Plinio T.","Devereux, Jan","Dietrich, Xavier","Kelley, Craig A.","Levy, Ilan S.","Maher, David P.","Mahoney, Jr., Paul F.","Mazen, Nadeem A.","McGovern, Marc C.","Mello, Gary W.","Moree, Gregg J.","Sanzone, John","Simmons, E. Denise","Toomey, Jr., Timothy J.","Waite, Romaine","Williamson, James M.","vanBeuzekom, Minka Y.",writeIns
first_choice,6.49,5.61,6.66,4.71,0.40,4.78,0.29,7.32,0.15,8.03,0.86,9.17,1.41,10.80,6.73,0.67,0.44,0.18,9.61,7.93,1.53,0.40,5.68,0.15
"Benzan, Dennis A.",,2.59,6.22,2.50,1.39,2.23,3.92,1.76,3.70,5.09,1.96,8.06,5.58,3.84,13.56,3.36,6.41,0.00,21.34,8.62,9.12,8.33,4.64,0.00
"Carlone, Dennis J.",6.64,,4.79,20.93,4.17,3.52,1.96,23.87,0.00,5.58,3.27,2.14,0.40,9.85,2.41,6.72,0.00,0.00,2.80,1.20,3.28,4.17,9.27,0.00
"Cheung, Leland",7.25,8.08,,4.76,1.39,8.68,1.96,7.04,3.70,15.06,5.88,8.12,4.78,5.29,14.39,4.20,8.97,9.38,9.74,5.58,3.28,1.39,11.54,3.70
"Connolly, Mike",1.81,22.95,2.94,,4.17,7.03,9.80,13.01,7.41,3.70,12.42,1.10,3.59,6.64,2.50,4.20,1.28,3.12,2.16,4.52,4.74,6.94,8.38,7.41
"Courtney, Kim",0.60,0.10,0.93,1.43,,1.17,0.00,0.61,40.74,0.49,5.23,0.18,0.40,0.67,0.17,5.04,0.00,0.00,0.64,0.21,1.09,0.00,0.99,3.70
"Davidson, Mariko",1.38,2.79,5.30,7.25,8.33,,11.76,3.75,7.41,3.21,10.46,0.55,0.40,22.45,3.41,4.20,3.85,12.50,1.63,0.85,12.41,1.39,4.83,0.00
"Degoes, Jr., Plinio T.",0.09,0.00,0.76,0.59,5.56,1.64,,0.61,0.00,0.07,1.31,0.18,0.00,0.26,0.08,1.68,0.00,0.00,0.23,0.07,1.09,1.39,0.39,0.00
"Devereux, Jan",0.95,15.47,4.29,15.10,13.89,7.27,9.80,,3.70,5.44,5.23,3.48,3.59,4.82,3.16,3.36,0.00,3.12,1.92,0.42,6.57,2.78,7.79,3.70
"Dietrich, Xavier",0.26,0.00,0.25,0.12,29.17,0.12,5.88,0.92,,0.14,1.31,0.00,0.40,0.05,0.25,1.68,0.00,3.12,0.17,0.07,0.73,0.00,0.30,0.00
"Kelley, Craig A.",4.40,5.39,10.93,4.04,0.00,3.99,1.96,4.13,14.81,,3.27,6.35,3.98,2.95,6.82,7.56,3.85,6.25,4.14,4.59,1.09,4.17,9.17,3.70
"Levy, Ilan S.",0.69,0.60,0.25,1.90,2.78,1.29,3.92,1.45,0.00,1.19,,0.73,0.80,0.62,0.08,5.88,0.00,3.12,0.64,1.77,0.73,4.17,0.99,0.00
"Maher, David P.",7.77,3.49,9.76,1.90,1.39,1.41,3.92,6.43,0.00,14.16,2.61,,22.31,3.94,8.82,7.56,7.69,9.38,7.46,23.23,1.09,2.78,3.55,0.00
"Mahoney, Jr., Paul F.",0.95,0.60,0.84,0.95,1.39,0.00,0.00,0.46,0.00,0.56,1.96,6.35,,0.52,0.92,5.88,3.85,0.00,0.58,4.10,0.73,0.00,0.39,3.70
"Mazen, Nadeem A.",4.14,20.26,6.48,15.10,4.17,30.36,7.84,14.15,0.00,6.76,7.19,4.40,3.98,,6.41,4.20,8.97,9.38,5.25,2.19,23.72,8.33,10.45,11.11
