,"Craig, Christopher","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.","Price, Alan C.","Walser, Nancy",writeIns
first_choice,3.06,15.54,12.27,12.63,13.93,14.53,6.96,20.55,0.53
"Craig, Christopher",,2.44,2.27,2.03,5.68,6.48,2.84,4.58,2.00
"Fantini, Alfred B.",11.17,,46.58,10.03,4.84,8.73,5.61,7.78,2.00
"Grassi, Joseph G.",5.76,49.23,,15.16,3.53,4.82,2.46,5.75,0.00
"Harding, Richard, Jr.",4.19,7.37,11.72,,9.29,10.42,15.99,15.25,5.00
"Lummis, Ben",32.64,4.85,2.44,8.93,,26.95,20.91,16.29,7.00
"McGovern, Marc C.",17.45,7.30,3.97,8.85,28.49,,12.84,10.49,2.00
"Price, Alan C.",5.58,3.30,2.35,18.63,14.86,9.98,,19.73,3.00
"Walser, Nancy",9.77,7.37,8.45,12.62,19.66,17.23,30.51,,10.00
writeIns,0.00,0.07,0.13,0.17,0.12,0.18,0.08,0.18,
exhaust,13.44,18.07,22.09,23.58,13.52,15.21,8.76,19.94,69.00
