,"Benzan, Dennis A.","Carlone, Dennis J.","Cheung, Leland","House, Janneke Ann","Kelley, Craig A.","Lee, James","Leslie, Logan Edward","Maher, David P.","Mazen, Nadeem A.","McGovern, Marc C.","Mello, Gary W.","Mirza, Mushtaque A.","Moree, Gregg J.","Peden, Ronald","Phillips, Lesley Rebecca","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Smith, Jefferson R.","Toomey, Jr., Timothy J.","Vasquez, Luis","Von Hoffmann, Kristen Lane","Williamson, James M.","Yarden, Elie","vanBeuzekom, Minka Y.",writeIns
first_choice,1301.00,1151.00,2391.00,410.00,1093.00,91.00,504.00,1464.00,985.00,1187.00,107.00,284.00,38.00,49.00,82.00,934.00,701.00,1184.00,579.00,1457.00,264.00,420.00,74.00,102.00,875.00,16.00
"Benzan, Dennis A.",,62.00,86.00,14.00,45.00,3.00,12.00,70.00,36.00,113.00,4.00,1.00,0.00,2.00,2.00,109.00,20.00,112.00,23.00,82.00,36.00,21.00,3.00,9.00,41.00,1.00
"Carlone, Dennis J.",78.00,,100.00,55.00,81.00,2.00,12.00,22.00,95.00,44.00,18.00,9.00,0.00,1.00,2.00,10.00,51.00,28.00,34.00,17.00,5.00,25.00,8.00,7.00,113.00,0.00
"Cheung, Leland",139.00,117.00,,53.00,182.00,18.00,77.00,200.00,117.00,188.00,13.00,14.00,2.00,4.00,5.00,84.00,134.00,141.00,111.00,158.00,29.00,51.00,4.00,5.00,169.00,0.00
"House, Janneke Ann",21.00,117.00,95.00,,48.00,0.00,23.00,18.00,120.00,31.00,2.00,1.00,0.00,0.00,2.00,7.00,31.00,13.00,26.00,13.00,5.00,20.00,2.00,2.00,21.00,0.00
"Kelley, Craig A.",46.00,102.00,241.00,24.00,,0.00,23.00,83.00,54.00,46.00,6.00,3.00,1.00,2.00,1.00,23.00,56.00,20.00,16.00,64.00,7.00,23.00,1.00,1.00,73.00,0.00
"Lee, James",10.00,9.00,38.00,3.00,7.00,,10.00,0.00,11.00,5.00,4.00,2.00,0.00,0.00,1.00,4.00,4.00,5.00,4.00,7.00,8.00,3.00,2.00,2.00,3.00,1.00
"Leslie, Logan Edward",5.00,6.00,38.00,5.00,16.00,6.00,,25.00,8.00,8.00,9.00,0.00,1.00,1.00,0.00,3.00,6.00,3.00,10.00,13.00,4.00,9.00,1.00,0.00,6.00,1.00
"Maher, David P.",53.00,32.00,230.00,14.00,92.00,5.00,47.00,,11.00,130.00,4.00,9.00,2.00,0.00,1.00,45.00,43.00,49.00,22.00,332.00,13.00,11.00,1.00,4.00,32.00,0.00
"Mazen, Nadeem A.",61.00,209.00,119.00,59.00,60.00,10.00,14.00,21.00,,50.00,4.00,85.00,3.00,2.00,5.00,16.00,30.00,22.00,52.00,16.00,14.00,27.00,8.00,14.00,58.00,0.00
