,"Benzan, Dennis A.","Carlone, Dennis J.","Cheung, Leland","House, Janneke Ann","Kelley, Craig A.","Lee, James","Leslie, Logan Edward","Maher, David P.","Mazen, Nadeem A.","McGovern, Marc C.","Mello, Gary W.","Mirza, Mushtaque A.","Moree, Gregg J.","Peden, Ronald","Phillips, Lesley Rebecca","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Smith, Jefferson R.","Toomey, Jr., Timothy J.","Vasquez, Luis","Von Hoffmann, Kristen Lane","Williamson, James M.","Yarden, Elie","vanBeuzekom, Minka Y.",writeIns
first_choice,7.33,6.49,13.48,2.31,6.16,0.51,2.84,8.25,5.55,6.69,0.60,1.60,0.21,0.28,0.46,5.26,3.95,6.67,3.26,8.21,1.49,2.37,0.42,0.57,4.93,0.09
"Benzan, Dennis A.",,5.53,3.81,3.55,4.33,3.70,3.28,5.29,3.92,10.06,4.08,0.51,0.00,5.00,2.70,13.10,3.00,10.30,4.21,6.98,15.25,5.24,4.48,9.00,4.89,20.00
"Carlone, Dennis J.",6.73,,4.42,13.96,7.79,2.47,3.28,1.66,10.34,3.92,18.37,4.57,0.00,2.50,2.70,1.20,7.66,2.58,6.23,1.45,2.12,6.23,11.94,7.00,13.48,0.00
"Cheung, Leland",11.99,10.43,,13.45,17.50,22.22,21.04,15.11,12.73,16.74,13.27,7.11,7.41,10.00,6.76,10.10,20.12,12.97,20.33,13.46,12.29,12.72,5.97,5.00,20.17,0.00
"House, Janneke Ann",1.81,10.43,4.20,,4.62,0.00,6.28,1.36,13.06,2.76,2.04,0.51,0.00,0.00,2.70,0.84,4.65,1.20,4.76,1.11,2.12,4.99,2.99,2.00,2.51,0.00
"Kelley, Craig A.",3.97,9.09,10.66,6.09,,0.00,6.28,6.27,5.88,4.10,6.12,1.52,3.70,5.00,1.35,2.76,8.41,1.84,2.93,5.45,2.97,5.74,1.49,1.00,8.71,0.00
"Lee, James",0.86,0.80,1.68,0.76,0.67,,2.73,0.00,1.20,0.45,4.08,1.02,0.00,0.00,1.35,0.48,0.60,0.46,0.73,0.60,3.39,0.75,2.99,2.00,0.36,20.00
"Leslie, Logan Edward",0.43,0.53,1.68,1.27,1.54,7.41,,1.89,0.87,0.71,9.18,0.00,3.70,2.50,0.00,0.36,0.90,0.28,1.83,1.11,1.69,2.24,1.49,0.00,0.72,20.00
"Maher, David P.",4.57,2.85,10.18,3.55,8.85,6.17,12.84,,1.20,11.58,4.08,4.57,7.41,0.00,1.35,5.41,6.46,4.51,4.03,28.28,5.51,2.74,1.49,4.00,3.82,0.00
"Mazen, Nadeem A.",5.26,18.63,5.27,14.97,5.77,12.35,3.83,1.59,,4.45,4.08,43.15,11.11,5.00,6.76,1.92,4.50,2.02,9.52,1.36,5.93,6.73,11.94,14.00,6.92,0.00
"McGovern, Marc C.",10.61,5.97,10.40,4.31,5.67,4.94,5.74,10.42,5.55,,5.10,7.61,3.70,2.50,4.05,3.73,9.61,6.16,7.51,4.26,6.36,7.23,0.00,2.00,4.77,0.00
"Mello, Gary W.",0.35,0.98,0.49,0.25,0.67,0.00,3.83,0.30,0.65,0.27,,1.02,0.00,0.00,1.35,0.36,0.15,0.00,0.00,1.02,0.42,0.25,11.94,0.00,0.60,0.00
"Mirza, Mushtaque A.",0.69,0.53,0.93,1.02,0.67,1.23,1.37,0.23,10.88,0.53,6.12,,0.00,7.50,4.05,0.48,1.05,0.64,0.55,0.51,0.42,2.24,0.00,5.00,1.43,0.00
"Moree, Gregg J.",0.17,0.09,0.04,0.00,0.38,1.23,1.64,0.76,0.33,0.18,1.02,0.51,,5.00,0.00,0.36,0.00,0.18,0.00,0.60,0.42,0.00,0.00,0.00,0.12,0.00
"Peden, Ronald",0.52,0.09,0.31,0.00,0.29,0.00,1.09,0.15,0.87,0.18,4.08,1.02,11.11,,1.35,0.36,0.15,0.18,0.37,0.17,0.42,0.75,0.00,2.00,0.48,0.00
"Phillips, Lesley Rebecca",0.17,0.36,0.71,1.27,0.96,0.00,1.09,0.45,0.98,0.45,0.00,0.51,3.70,15.00,,0.60,0.75,0.83,1.47,0.60,2.12,2.24,1.49,2.00,0.60,20.00
"Reeves, Kenneth E.",12.34,0.62,7.52,2.03,3.27,7.41,3.28,6.72,3.26,5.43,1.02,5.08,3.70,12.50,8.11,,3.15,25.39,2.93,7.67,4.24,2.49,5.97,4.00,1.91,0.00
"Seidel, Sam",2.67,5.61,6.50,5.08,7.79,2.47,3.01,5.66,4.13,7.75,6.12,0.51,11.11,0.00,13.51,3.73,,3.68,6.04,2.13,1.27,4.99,1.49,7.00,8.00,0.00
"Simmons, E. Denise",14.32,2.50,7.61,4.31,5.58,6.17,1.91,7.48,4.79,8.37,0.00,4.57,3.70,10.00,13.51,39.78,6.01,,5.31,10.05,7.63,6.23,7.46,5.00,7.40,0.00
"Smith, Jefferson R.",2.76,2.32,5.00,4.57,2.60,4.94,1.09,1.81,3.59,5.88,0.00,0.51,3.70,2.50,1.35,1.32,3.00,3.13,,2.98,2.97,5.74,2.99,1.00,2.51,0.00
"Toomey, Jr., Timothy J.",7.16,1.60,4.20,1.52,3.17,4.94,7.38,28.40,1.41,3.29,0.00,4.06,25.93,0.00,1.35,6.97,3.00,10.12,5.49,,7.63,2.74,1.49,0.00,2.98,0.00
"Vasquez, Luis",6.13,1.16,1.06,0.51,0.77,1.23,1.64,0.98,4.68,1.78,2.04,1.52,0.00,2.50,2.70,1.08,1.35,2.21,3.11,3.32,,2.74,5.97,4.00,1.07,0.00
"Von Hoffmann, Kristen Lane",1.55,3.83,3.10,5.08,3.85,2.47,3.01,1.21,3.16,3.12,0.00,2.54,0.00,0.00,10.81,1.44,3.15,3.13,4.21,1.36,3.39,,2.99,4.00,5.73,0.00
"Williamson, James M.",0.52,0.71,0.27,0.76,0.19,0.00,0.82,0.00,0.11,0.18,0.00,2.03,0.00,5.00,0.00,0.12,0.30,0.46,0.73,0.34,1.27,1.25,,9.00,0.48,0.00
"Yarden, Elie",0.95,0.71,0.18,1.02,0.67,1.23,0.27,0.00,0.54,0.36,0.00,0.00,0.00,5.00,6.76,0.12,0.15,0.74,0.73,0.60,3.39,2.99,8.96,,0.24,0.00
"vanBeuzekom, Minka Y.",3.36,14.62,9.73,10.66,12.31,7.41,2.46,2.27,5.44,7.48,8.16,5.58,0.00,2.50,5.41,3.37,11.71,6.90,6.96,4.60,6.78,10.72,4.48,10.00,,20.00
writeIns,0.09,0.00,0.04,0.00,0.10,0.00,0.82,0.00,0.44,0.00,1.02,0.00,0.00,0.00,0.00,0.00,0.15,0.09,0.00,0.00,0.00,0.00,0.00,1.00,0.12,
