,"Benjamin, Ronald","Burgin, Josh M.","Carlone, Dennis J.","D'Ambrosio, Olivia","Devereux, Jan","Gebru, Samuel","Harding, Jr., Richard","Kelley, Craig A.","Lenke, Dan","Levy, Ilan","Mallon, Alanna M.","McGovern, Marc C.","Moree, Gregg J.","Musgrave, Adriane B.","Okamoto, Nadya T.","Pillai, Hari I.","Santos, Jeff","Siddiqui, Sumbul","Simmons, E. Denise","Sivongxay, Vatsady","Sutton, Bryan","Tierney, Sean","Toner, Paul F.","Toomey, Jr., Timothy J.","Volmar, Gwen Thomas","Zondervan, Quinton Y.",writeIns
first_choice,1.07,1.74,5.22,0.96,7.54,3.49,3.71,4.85,0.24,1.09,5.90,8.35,0.20,2.58,2.44,0.48,0.65,11.24,11.61,3.29,0.20,3.46,4.35,7.19,1.10,6.95,0.09
"Benjamin, Ronald",,1.28,0.26,1.39,0.29,1.40,2.03,0.46,0.00,0.41,0.45,0.11,4.35,0.52,0.91,1.87,2.04,0.79,2.22,0.54,2.22,0.13,0.41,0.56,1.21,0.32,0.00
"Burgin, Josh M.",5.37,,1.28,2.78,0.65,1.91,0.84,1.56,0.00,1.22,1.28,0.74,10.87,1.72,1.45,1.87,0.68,0.71,0.65,0.81,2.22,1.93,2.45,1.91,2.42,1.09,4.76
"Carlone, Dennis J.",4.13,3.83,,6.94,24.31,2.54,3.35,5.31,0.00,4.88,4.06,4.63,0.00,1.21,3.45,3.74,3.40,5.49,3.86,5.54,2.22,3.59,1.94,2.59,4.44,10.93,4.76
"D'Ambrosio, Olivia",1.24,1.53,1.45,,2.65,1.27,0.24,0.37,1.85,2.03,1.66,0.80,0.00,0.86,3.45,1.87,2.72,1.30,0.76,0.41,2.22,0.77,0.41,0.56,4.84,1.28,4.76
"Devereux, Jan",5.37,7.91,35.03,13.89,,2.92,1.79,11.54,3.70,6.10,9.33,6.60,0.00,2.93,6.91,2.80,4.76,8.33,7.26,6.35,2.22,5.52,4.80,2.10,5.65,18.40,0.00
"Gebru, Samuel",6.20,3.83,2.13,1.85,2.24,,5.98,1.56,3.70,0.81,4.14,5.53,2.17,4.83,7.27,1.87,1.36,4.42,4.05,2.16,2.22,6.16,0.51,0.68,3.63,2.49,0.00
"Harding, Jr., Richard",7.02,3.57,1.70,2.78,1.71,8.77,,2.01,0.00,1.63,1.81,2.45,4.35,1.55,1.64,0.00,4.08,2.53,13.23,1.22,0.00,3.47,3.57,7.41,1.61,1.34,0.00
"Kelley, Craig A.",2.89,6.89,4.85,2.31,5.12,3.05,3.11,,0.00,2.85,4.74,4.41,6.52,3.97,2.55,0.93,1.36,2.92,4.01,2.57,2.22,3.59,5.82,4.63,1.61,2.94,4.76
"Lenke, Dan",0.00,0.00,0.17,0.93,0.35,0.00,0.48,0.73,,1.22,0.23,0.05,2.17,0.34,0.00,0.93,0.68,0.00,0.23,0.00,2.22,0.00,0.20,0.37,0.00,0.19,0.00
"Levy, Ilan",0.41,1.02,0.51,0.46,0.82,0.51,0.60,1.19,20.37,,0.90,0.48,0.00,0.86,2.18,4.67,0.68,0.55,0.38,0.81,0.00,0.26,0.41,3.15,1.61,1.21,0.00
"Mallon, Alanna M.",2.48,5.36,2.81,7.41,5.71,7.24,5.62,9.52,9.26,4.47,,6.81,2.17,16.55,4.36,1.87,1.36,7.54,3.29,4.05,0.00,10.01,7.04,4.01,8.06,3.26,0.00
