,"Bowman, Manikka L.","Cronin, Fran A.","Crutchfield, Jake W.","Dexter, Emily R.","Fantini, Alfred B.","Kadete, Elechi M.","Kelly, Kathleen M.","Kimbrough, Laurance V.","MacArthur, William","Mitros, Piotr Flawiusz","Nolan, Patricia M.","Weinstein, David J.",writeIns
first_choice,13.37,7.59,5.02,11.48,13.17,4.09,9.09,8.96,3.84,2.47,16.70,3.85,0.38
"Bowman, Manikka L.",,15.61,10.57,13.36,9.07,17.41,14.26,22.09,11.39,11.26,21.01,14.17,15.00
"Cronin, Fran A.",12.92,,8.85,6.96,9.07,6.70,6.07,6.10,7.25,8.87,10.68,11.02,5.00
"Crutchfield, Jake W.",4.32,7.43,,7.23,2.32,10.57,2.81,4.94,10.80,5.84,3.82,7.24,5.00
"Dexter, Emily R.",19.67,15.24,20.92,,9.81,10.12,18.03,14.83,14.05,14.29,22.77,14.17,15.00
"Fantini, Alfred B.",5.60,10.19,5.98,10.16,,9.38,11.38,10.56,4.29,2.60,7.67,6.30,5.00
"Kadete, Elechi M.",8.52,3.94,7.82,3.62,3.64,,2.75,8.60,5.77,8.23,3.34,5.67,5.00
"Kelly, Kathleen M.",10.70,10.71,5.86,13.14,22.15,7.14,,6.65,7.99,4.98,15.68,9.29,5.00
"Kimbrough, Laurance V.",11.44,5.65,6.55,8.01,11.76,13.39,4.73,,13.02,6.71,4.26,5.67,5.00
"MacArthur, William",2.80,3.49,8.85,3.71,4.01,3.57,3.13,5.67,,11.26,2.80,2.99,0.00
"Mitros, Piotr Flawiusz",2.26,2.23,5.52,4.35,1.42,5.65,2.05,2.99,5.77,,2.97,6.30,5.00
"Nolan, Patricia M.",18.11,20.89,13.68,25.72,21.78,11.01,31.33,12.08,13.61,16.45,,16.69,30.00
"Weinstein, David J.",3.58,4.54,5.29,3.75,4.69,5.06,3.39,5.31,5.77,9.31,4.93,,5.00
writeIns,0.08,0.07,0.11,0.00,0.26,0.00,0.06,0.18,0.30,0.22,0.07,0.47,
